art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.351073720922349,52.50470029736118
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.34418911713148,52.53768371256381
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.344204618248373,52.53774560574939
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.39646081272839,52.50981278504298
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.396034728018728,52.50978731917279
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.39540181229896,52.50974823068326
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.395050715024977,52.50972419718055
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.394701533848584,52.50970226467303
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.39434765944078,52.50968138773243
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.342023842650269,52.523480329389265
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.342376222293492,52.52451716737594
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.343886945525167,52.53676685984365
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.331018756944948,52.520242496608724
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.330643297344324,52.52026618950731
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.343614572415891,52.52052188220133
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.355475259790698,52.52085238016055
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.354890502381807,52.52092426110298
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.352159005903438,52.52141179326769
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.356903297974009,52.52095225897135
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.357051765527071,52.52095558911483
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.357548459162718,52.5209710898317
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.35768936374778,52.52097758336743
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.357928227107411,52.52098124450338
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.331436686511994,52.51993130252787
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.32675970334564,52.530579873572954
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.343964153758124,52.53699649697219
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.344468589946905,52.52033471082019
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.352198362616159,52.50697558838616
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.351660043542267,52.50656177908917
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.402652576827156,52.51459835829978
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.340049501132896,52.53017662522493
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.350548589395975,52.503707489008356
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.350629755458167,52.503794486054254
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.35064758607556,52.50354934909209
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.340007664811216,52.532510354112986
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.333771129713039,52.52935485521191
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.347881435639772,52.53289994067851
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.34381122682719,52.5203896932205
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.229380214250961,52.54365306341598
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336603297918595,52.53233528137004
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.338969569956554,52.53216877735261
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.338236498438059,52.52871769057959
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335611647380333,52.52854758370866
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335552515558572,52.52853207129548
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.333464593637771,52.52872997964949
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.33856873408247,52.53053388779389
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.32671473138281,52.528212317077966
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.326690087217289,52.52877011175553
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.339812317949551,52.52403875596859
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336344077134894,52.531301179789544
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.327841006378911,52.531012540598624
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.3277108088406,52.53099811142015
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.326018702750202,52.53084409396704
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335488323323876,52.52738862648971
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335627324264049,52.52798183041116
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335754726153104,52.52846243776634
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336498198749691,52.53216694495047
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336659221989155,52.53256236055375
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336788851897914,52.53257663429461
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336690036871095,52.53232738443264
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336659061365218,52.53203220917902
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336578718456865,52.53171497707696
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.335733766638743,52.527886007431256
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.338415041502529,52.529231891733595
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.333371568392916,52.527464899871
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.334517947601789,52.53163607373099
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.333955955275147,52.529354857225876
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.333556166849387,52.52780401801546
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.396045920696203,52.53256783817934
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.396064514688033,52.53254600995308
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.351992269183315,52.506874697315304
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.351916603874626,52.50730152912044
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.351862042757258,52.50758523444068
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.359244703245869,52.53335292877064
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.353376224001313,52.53159051527455
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.334359876073657,52.531547175397044
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.338872335505554,52.531086679473155
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.33952777757886,52.53379518990455
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.340054536514456,52.530460838754514
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.32578730249437,52.530821935449794
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.338440308306604,52.52930259308392
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.348819883536935,52.5328094767474
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.349589923842101,52.53273628717706
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.339959201558685,52.53038948307447
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.339975042303235,52.53130750298075
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336435731297206,52.531149343962745
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.336532820533678,52.528520307235944
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.325849692919471,52.530945567848974
Zier-Feld-Ahorn 'Red Shine',Acer campestre 'Red Shine',AHORN,ACER,13.352859009847288,52.531366698361126
