art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Borstige Scheinakazie,Robinia hispida 'Rosea',ROBINIE,ROBINIA,13.528797187889325,52.45697087586628
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.436929211202532,52.4709867326428
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.59431099124886,52.535700010762
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.594237710161318,52.53566669694047
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.489153026969152,52.50028374133512
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.4893583148282,52.50037749636731
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.594091614165157,52.53559296384142
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.59401358455434,52.53555451904187
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.593932976461227,52.53551173155029
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.5017033581397,52.40086191695967
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.303518433834657,52.49075549477555
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.501618804175077,52.400877224274446
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.501680573957804,52.40081315248616
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.501649692379534,52.400844071728294
Echte Kugel-Akazie,Robinia pseudoacacia 'Umbraculifera',ROBINIE,ROBINIA,13.501734239693445,52.400830997703416
