art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.413478998003093,52.482601277896876
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.500231481103334,52.510869016393315
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.50011444271098,52.51086964932976
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.499988112143594,52.51089476095475
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.521288715912892,52.50081905146978
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.521455921119943,52.500374623772345
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.521095219066002,52.5018881579893
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.52070359822637,52.50298079973059
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.520721287478707,52.50291861013718
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.50039371937308,52.51086553603773
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.519623166750115,52.50535497794848
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.521039489072187,52.50190814507154
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.49842984014033,52.55165622297147
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.498466549417723,52.551707854144034
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.49883585407193,52.55219363852212
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.498920052606193,52.552288510305516
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.498964823661685,52.55234308647282
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.49949434064617,52.552886080134606
Amberbaum,Liquidambar styraciflua,AMBERBAUM,LIQUIDAMBAR,13.49967836638754,52.55307156124955
