art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Zierapfel 'Golden Hornet',Malus 'Golden Hornet',APFEL,MALUS,13.586002521320847,52.44990044531958
Zierapfel 'Golden Hornet',Malus 'Golden Hornet',APFEL,MALUS,13.58599564872753,52.44995880445667
Zierapfel 'Golden Hornet',Malus 'Golden Hornet',APFEL,MALUS,13.585991865224521,52.45001720052897
Zierapfel 'Golden Hornet',Malus 'Golden Hornet',APFEL,MALUS,13.517853458136967,52.463351582402346
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504735759747495,52.43836825432777
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504108240714999,52.43832110267289
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503976211407592,52.43830664429051
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503843864627955,52.43830155943084
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503717268915311,52.438291433077346
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503584777842978,52.438290608768476
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503187602720379,52.43832053445689
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.40288571242183,52.54391225776804
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503315209123125,52.438300837297845
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268251246502853,52.42903705122388
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268690314899375,52.43022177768061
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268549997719573,52.4296776405742
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.50345217126313,52.43829319316278
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.267843879073016,52.428990317457846
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.26826522925532,52.42930967869948
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268707726155155,52.43001833903026
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268837534386181,52.43053819913191
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268505741226097,52.429833114612684
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503722913632473,52.437918960336724
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503823024695722,52.4379696726365
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503906203488008,52.43802613708613
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.50398499521056,52.438088514243475
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504063759735784,52.43815174425515
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.503610398996726,52.4378638283128
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.50424243471037,52.43827165008575
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504353989982778,52.43831398135977
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.50447946196965,52.43835734089859
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268287470854839,52.429360944091364
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268355297325726,52.42925096093207
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.396811213376267,52.534239021965966
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504604721665915,52.43836574483045
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.385796320625682,52.52472756952891
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.577311418819885,52.501619311747426
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.389983120382853,52.53258213948612
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.304133615633974,52.58608942668722
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.33302511876633,52.47564483964813
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.484080895628564,52.53534907571982
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.480467959624502,52.53517982438247
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.267382134230033,52.42880222894486
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.26889037324715,52.430398348145516
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268675683774646,52.42994711956072
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268874011741762,52.430365765789816
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268444904426866,52.429450913010655
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.39664960967578,52.534142712526325
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.310637640494623,52.58769379102869
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268357487390693,52.429520720046305
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.267925251914924,52.4290066034536
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268754748761515,52.43012360331299
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.267478109232494,52.42882843182204
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.268025782868062,52.42902909895896
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.266470882192706,52.428652153420586
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.38063043340007,52.52755003422816
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.380806293213025,52.52758914670401
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.380642430997263,52.52748918762981
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.380750186423754,52.52758887529925
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.380703129984655,52.527585751662755
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.380642327016163,52.527580454667344
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.276693979631776,52.635628197280845
Zierapfel 'Hillieri',Malus 'Hillieri',APFEL,MALUS,13.504150803949166,52.43821763511819
Zierapfel 'Hopa',Malus 'Hopa',APFEL,MALUS,13.427194040594218,52.4313920525454
Zierapfel 'Hopa',Malus 'Hopa',APFEL,MALUS,13.427438421949796,52.43128835423078
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.419835724275066,52.50578368938815
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.456860526042425,52.495917500024866
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.457161636231893,52.4964619289615
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.455698506022312,52.49613984638007
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.420115470084884,52.50569044488754
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.42028949996772,52.50565482002846
Zierapfel 'John Downie',Malus 'John Downie',APFEL,MALUS,13.420509635084162,52.50573049404783
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.467455783504288,52.504608279350805
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.301470705907466,52.50348029701476
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.301256047374514,52.503437146569134
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.301198808121898,52.5034247404002
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.466993405900617,52.504982228913576
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.228468820194054,52.50931032362847
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.261019319693236,52.49099948593582
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.307328306220828,52.5436399751
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.330717403481705,52.511785049354394
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.311418831249988,52.5434800577411
Zierapfel 'Liset',Malus 'Liset',APFEL,MALUS,13.330658711761302,52.51170311652149
