art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.336295248233748,52.53411729776173
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.412246028265177,52.4888986058444
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.44879055687028,52.53997938787666
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.497843533001951,52.62586848886314
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.407029717325834,52.55600449313819
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.512195837251703,52.57717403468592
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.505085295236334,52.49853944926246
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.614162256580286,52.523649908656694
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.431028418776835,52.515131960204
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.584135805989437,52.501101322594955
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.599836136296032,52.53277270316136
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.580025722522915,52.55069224717585
Aprikose,Prunus armeniaca,Unbekannt,PRUNUS,13.471842530835753,52.45827925779463
