art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Birke,Betula spec.,BIRKE,BETULA,13.430977992389469,52.420140199853655
Birke,Betula spec.,BIRKE,BETULA,13.341727133855965,52.438103031650975
Birke,Betula spec.,BIRKE,BETULA,13.341696106733991,52.438080718076854
Birke,Betula spec.,BIRKE,BETULA,13.341837905163434,52.43821867965736
Birke,Betula spec.,BIRKE,BETULA,13.341754783579068,52.438134892413494
Birke,Betula spec.,BIRKE,BETULA,13.341877460926101,52.43821552909143
Birke,Betula spec.,BIRKE,BETULA,13.341701037709402,52.438129235694326
Birke,Betula spec.,BIRKE,BETULA,13.341792796556385,52.43815002372902
Birke,Betula spec.,BIRKE,BETULA,13.341765033833894,52.4381136486819
Birke,Betula spec.,BIRKE,BETULA,13.325131266562806,52.432302943706055
Birke,Betula spec.,BIRKE,BETULA,13.323980478409414,52.43207479932905
Birke,Betula spec.,BIRKE,BETULA,13.324058944259248,52.43216977521264
Birke,Betula spec.,BIRKE,BETULA,13.343117636923973,52.4379026974249
Birke,Betula spec.,BIRKE,BETULA,13.343903633213024,52.43835998718221
Birke,Betula spec.,BIRKE,BETULA,13.343469977285686,52.43818121740576
Birke,Betula spec.,BIRKE,BETULA,13.343022699914552,52.438018720797295
Birke,Betula spec.,BIRKE,BETULA,13.343082066729767,52.437988945642964
Birke,Betula spec.,BIRKE,BETULA,13.34304968710315,52.43805053959892
Birke,Betula spec.,BIRKE,BETULA,13.343916054925584,52.43837579245333
Birke,Betula spec.,BIRKE,BETULA,13.343663763427744,52.43772007100473
Birke,Betula spec.,BIRKE,BETULA,13.35255825591084,52.43581693891571
Birke,Betula spec.,BIRKE,BETULA,13.343668565360382,52.43817053872367
Birke,Betula spec.,BIRKE,BETULA,13.344006668376652,52.43826187561416
Birke,Betula spec.,BIRKE,BETULA,13.35286025409694,52.435864970700784
Birke,Betula spec.,BIRKE,BETULA,13.35284568954586,52.43585653721614
Birke,Betula spec.,BIRKE,BETULA,13.343012688058566,52.438076680148185
Birke,Betula spec.,BIRKE,BETULA,13.34292582276139,52.43809841383247
Birke,Betula spec.,BIRKE,BETULA,13.34385843375027,52.43820186696697
Birke,Betula spec.,BIRKE,BETULA,13.342233631130934,52.43840372194003
Birke,Betula spec.,BIRKE,BETULA,13.342178762098943,52.43840046204545
Birke,Betula spec.,BIRKE,BETULA,13.342211993352404,52.43842301678835
Birke,Betula spec.,BIRKE,BETULA,13.342370279095686,52.43847237262592
Birke,Betula spec.,BIRKE,BETULA,13.328489175054472,52.413474868814575
Birke,Betula spec.,BIRKE,BETULA,13.328463602586096,52.413451444519595
Birke,Betula spec.,BIRKE,BETULA,13.328532528758382,52.41350712762795
Birke,Betula spec.,BIRKE,BETULA,13.328489895335423,52.41350275293271
Birke,Betula spec.,BIRKE,BETULA,13.328500577505066,52.41338794030405
Birke,Betula spec.,BIRKE,BETULA,13.329969987196478,52.41412155452309
Birke,Betula spec.,BIRKE,BETULA,13.329948583183985,52.41406969602367
Birke,Betula spec.,BIRKE,BETULA,13.329955083911607,52.41407269205488
Birke,Betula spec.,BIRKE,BETULA,13.327842973202253,52.41335137093787
Birke,Betula spec.,BIRKE,BETULA,13.327953458730793,52.413381449713455
Birke,Betula spec.,BIRKE,BETULA,13.32806065542932,52.41341315335057
Birke,Betula spec.,BIRKE,BETULA,13.328109208388316,52.41342748347543
Birke,Betula spec.,BIRKE,BETULA,13.327789401444898,52.41333717111025
Birke,Betula spec.,BIRKE,BETULA,13.343886804625853,52.438200181982246
Birke,Betula spec.,BIRKE,BETULA,13.327735695695736,52.413361958347004
Birke,Betula spec.,BIRKE,BETULA,13.329331324268182,52.413730833967065
Birke,Betula spec.,BIRKE,BETULA,13.329404547360754,52.41379032036285
Birke,Betula spec.,BIRKE,BETULA,13.329577299146557,52.41383705910101
Birke,Betula spec.,BIRKE,BETULA,13.329207745794283,52.41258797526929
Birke,Betula spec.,BIRKE,BETULA,13.343130752840901,52.43906189460147
Birke,Betula spec.,BIRKE,BETULA,13.343358561117228,52.439124980078326
Birke,Betula spec.,BIRKE,BETULA,13.343366595354016,52.43920059844985
Birke,Betula spec.,BIRKE,BETULA,13.343223896757399,52.43904755952161
Birke,Betula spec.,BIRKE,BETULA,13.343172596097222,52.43905492650015
Birke,Betula spec.,BIRKE,BETULA,13.343302505079688,52.43910917657407
Birke,Betula spec.,BIRKE,BETULA,13.343187370046174,52.43905854210479
Birke,Betula spec.,BIRKE,BETULA,13.343152903032719,52.439057369498464
Birke,Betula spec.,BIRKE,BETULA,13.342622473449234,52.43874207957744
Birke,Betula spec.,BIRKE,BETULA,13.327593220130785,52.41334720111783
Birke,Betula spec.,BIRKE,BETULA,13.343622701651395,52.43816544016323
Birke,Betula spec.,BIRKE,BETULA,13.343646365223108,52.43775430871873
Birke,Betula spec.,BIRKE,BETULA,13.343714261075505,52.43816375927133
Birke,Betula spec.,BIRKE,BETULA,13.16399045733341,52.5544837013858
Birke,Betula spec.,BIRKE,BETULA,13.164199256237461,52.55451391406189
Birke,Betula spec.,BIRKE,BETULA,13.164722607490079,52.554553499892215
Birke,Betula spec.,BIRKE,BETULA,13.16475944680687,52.55447314934019
Birke,Betula spec.,BIRKE,BETULA,13.164134811302663,52.55253482611182
Birke,Betula spec.,BIRKE,BETULA,13.18869584322225,52.55078681029991
Birke,Betula spec.,BIRKE,BETULA,13.189405868465021,52.55059087482568
Birke,Betula spec.,BIRKE,BETULA,13.189519924546207,52.550597115230325
Birke,Betula spec.,BIRKE,BETULA,13.43105286970973,52.44683465577847
Birke,Betula spec.,BIRKE,BETULA,13.408582298001585,52.48499778716744
Birke,Betula spec.,BIRKE,BETULA,13.408952355002542,52.48505677380518
Birke,Betula spec.,BIRKE,BETULA,13.18748519812292,52.54606133758169
