art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Birne,Pyrus spec.,BIRNE,PYRUS,13.130706692518189,52.4437323743905
Birne,Pyrus spec.,BIRNE,PYRUS,13.545279014973994,52.41692921618308
Birne,Pyrus spec.,BIRNE,PYRUS,13.544665237303008,52.41592783776015
Birne,Pyrus spec.,BIRNE,PYRUS,13.545619482438477,52.4174981623604
Birne,Pyrus spec.,BIRNE,PYRUS,13.54537988712715,52.417087271349374
Birne,Pyrus spec.,BIRNE,PYRUS,13.545565341490898,52.4174105473661
Birne,Pyrus spec.,BIRNE,PYRUS,13.545430335314263,52.41718702838206
Birne,Pyrus spec.,BIRNE,PYRUS,13.545114242373112,52.41666557385258
Birne,Pyrus spec.,BIRNE,PYRUS,13.545056167367798,52.41656476975409
Birne,Pyrus spec.,BIRNE,PYRUS,13.544936774729539,52.41636113902318
Birne,Pyrus spec.,BIRNE,PYRUS,13.544794846896524,52.41612857355958
Birne,Pyrus spec.,BIRNE,PYRUS,13.544628857132755,52.41586661391838
Birne,Pyrus spec.,BIRNE,PYRUS,13.54456228930215,52.4157585831798
Birne,Pyrus spec.,BIRNE,PYRUS,13.545179887171914,52.41652712007002
Birne,Pyrus spec.,BIRNE,PYRUS,13.544488179331067,52.41565141978708
Birne,Pyrus spec.,BIRNE,PYRUS,13.544363530551847,52.4154601556501
Birne,Pyrus spec.,BIRNE,PYRUS,13.545270389501228,52.416672542069506
Birne,Pyrus spec.,BIRNE,PYRUS,13.545110495638738,52.41641023198719
Birne,Pyrus spec.,BIRNE,PYRUS,13.49031180518658,52.60958028348932
Birne,Pyrus spec.,BIRNE,PYRUS,13.495691101334543,52.61777959511912
Birne,Pyrus spec.,BIRNE,PYRUS,13.466418568545492,52.614658135527186
Birne,Pyrus spec.,BIRNE,PYRUS,13.587501296797273,52.50348751703966
Birne,Pyrus spec.,BIRNE,PYRUS,13.592089925967702,52.50863260182731
Birne,Pyrus spec.,BIRNE,PYRUS,13.60833238364958,52.480490797478524
Birne,Pyrus spec.,BIRNE,PYRUS,13.381508833325519,52.491558915488106
Birne,Pyrus spec.,BIRNE,PYRUS,13.623931534994686,52.53764394558673
Birne,Pyrus spec.,BIRNE,PYRUS,13.545782628458133,52.41753321863626
Birne,Pyrus spec.,BIRNE,PYRUS,13.545381497694923,52.41685099444293
Birne,Pyrus spec.,BIRNE,PYRUS,13.545319891077432,52.41675890791556
Birne,Pyrus spec.,BIRNE,PYRUS,13.545025427143257,52.41627527848822
Birne,Pyrus spec.,BIRNE,PYRUS,13.54492244109823,52.41610898992467
Birne,Pyrus spec.,BIRNE,PYRUS,13.544818267528571,52.41592515407625
Birne,Pyrus spec.,BIRNE,PYRUS,13.545838971723501,52.4176421397521
Birne,Pyrus spec.,BIRNE,PYRUS,13.489908727165563,52.60974645357647
Birne,Pyrus spec.,BIRNE,PYRUS,13.528656835079214,52.56045183881068
Birne,Pyrus spec.,BIRNE,PYRUS,13.180073806526277,52.49429543994421
Birne,Pyrus spec.,BIRNE,PYRUS,13.35837320272486,52.43784650058548
Birne,Pyrus spec.,BIRNE,PYRUS,13.35830130222974,52.43787701025489
Birne,Pyrus spec.,BIRNE,PYRUS,13.358526568949848,52.43904462008674
Birne,Pyrus spec.,BIRNE,PYRUS,13.358038969229714,52.43863312393438
Birne,Pyrus spec.,BIRNE,PYRUS,13.358685670273301,52.43871097391936
Birne,Pyrus spec.,BIRNE,PYRUS,13.358588178049855,52.43863259176578
Birne,Pyrus spec.,BIRNE,PYRUS,13.358603661640583,52.438594028432554
Birne,Pyrus spec.,BIRNE,PYRUS,13.358617378421844,52.4385580336413
Birne,Pyrus spec.,BIRNE,PYRUS,13.357666254422167,52.43680096749248
Birne,Pyrus spec.,BIRNE,PYRUS,13.510427689470951,52.41296532669993
Birne,Pyrus spec.,BIRNE,PYRUS,13.426165598704923,52.42148401280575
Birne,Pyrus spec.,BIRNE,PYRUS,13.455276187988494,52.42237641613622
Birne,Pyrus spec.,BIRNE,PYRUS,13.455293623999468,52.422403600311654
Birne,Pyrus spec.,BIRNE,PYRUS,13.455327633110205,52.422454467915834
Birne,Pyrus spec.,BIRNE,PYRUS,13.455360322361964,52.422484447118144
Birne,Pyrus spec.,BIRNE,PYRUS,13.45524596373451,52.42232620127653
Birne,Pyrus spec.,BIRNE,PYRUS,13.179767578168311,52.494203069533896
Birne,Pyrus spec.,BIRNE,PYRUS,13.51288942723354,52.56391093865516
Birne,Pyrus spec.,BIRNE,PYRUS,13.17960782834919,52.52700891925931
Birne,Pyrus spec.,BIRNE,PYRUS,13.179686277412117,52.526638645830054
Birne,Pyrus spec.,BIRNE,PYRUS,13.41988771374305,52.495539364970966
Birne,Pyrus spec.,BIRNE,PYRUS,13.50902422166458,52.502350551371244
Birne,Pyrus spec.,BIRNE,PYRUS,13.504107082186167,52.498196935913946
Birne,Pyrus spec.,BIRNE,PYRUS,13.126130679531917,52.47409766487666
Birne,Pyrus spec.,BIRNE,PYRUS,13.504108025074364,52.498112654644316
Birne,Pyrus spec.,BIRNE,PYRUS,13.50431489977142,52.49806492873945
Birne,Pyrus spec.,BIRNE,PYRUS,13.504859829012041,52.49794771849389
Birne,Pyrus spec.,BIRNE,PYRUS,13.505035468754162,52.49791598626466
Birne,Pyrus spec.,BIRNE,PYRUS,13.505127188492567,52.49792651111755
Birne,Pyrus spec.,BIRNE,PYRUS,13.516808869025699,52.50794301505011
Birne,Pyrus spec.,BIRNE,PYRUS,13.4684641119611,52.536969860867515
Birne,Pyrus spec.,BIRNE,PYRUS,13.50421435751601,52.49808824257687
Birne,Pyrus spec.,BIRNE,PYRUS,13.490464787451977,52.60951710559624
Birne,Pyrus spec.,BIRNE,PYRUS,13.490652018601859,52.609439256673554
Birne,Pyrus spec.,BIRNE,PYRUS,13.43348604289473,52.534838975208814
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514119748967914,52.434691846494786
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514035355952592,52.43470795885436
Birne,Pyrus pyraster,BIRNE,PYRUS,13.5139810552011,52.43470412954565
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513895045744302,52.43471581586761
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513842349628266,52.43470364497165
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513597501059913,52.434727360569305
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514135253467373,52.435009336046704
Birne,Pyrus pyraster,BIRNE,PYRUS,13.51409053967305,52.435044109026116
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514063063455097,52.43507810960074
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514048443815295,52.43506228141793
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514019181490058,52.43502693842008
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513932888633828,52.435029540234105
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513848155453658,52.43504699684737
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513825726998377,52.43507962224253
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513796760067551,52.435039877279465
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513739283960323,52.43508231193878
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513854241750018,52.4350103897974
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513617667792941,52.43763388575305
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513572685856127,52.43761533816708
Birne,Pyrus pyraster,BIRNE,PYRUS,13.5134738340302,52.43764124846411
Birne,Pyrus pyraster,BIRNE,PYRUS,13.51347834042065,52.43761226398588
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513368249395986,52.43762679406871
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513306289323872,52.43764498618496
Birne,Pyrus pyraster,BIRNE,PYRUS,13.5141842609622,52.43471135860096
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513211607320113,52.43762131802559
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513544248550259,52.43505081905272
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513547554790303,52.43508808363095
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513622747889965,52.43508309479746
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513615342881176,52.435032112275735
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513667562310461,52.43503222924992
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513733134211707,52.43501588057018
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513183934522962,52.437652348871126
Birne,Pyrus pyraster,BIRNE,PYRUS,13.514152621025577,52.43466798370716
Birne,Pyrus pyraster,BIRNE,PYRUS,13.518952744960318,52.43929980007543
Birne,Pyrus pyraster,BIRNE,PYRUS,13.518909597389289,52.43927030843483
Birne,Pyrus pyraster,BIRNE,PYRUS,13.540781927470896,52.48662368266102
Birne,Pyrus pyraster,BIRNE,PYRUS,13.540627537777205,52.486636696850105
Birne,Pyrus pyraster,BIRNE,PYRUS,13.540189535588045,52.48665367026492
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539937235371575,52.48667144348698
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539699590722051,52.48668939618597
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539464735564222,52.486696939841806
Birne,Pyrus pyraster,BIRNE,PYRUS,13.541905740990194,52.48655996298116
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539153461609523,52.48672442538218
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539006696254994,52.48672858020559
Birne,Pyrus spec.,BIRNE,PYRUS,13.642434754246757,52.521752676857524
Birne,Pyrus spec.,BIRNE,PYRUS,13.642484411372568,52.52178649182481
Birne,Pyrus spec.,BIRNE,PYRUS,13.521258098963779,52.51126307395038
Birne,Pyrus spec.,BIRNE,PYRUS,13.545613095740148,52.41725190681383
Birne,Pyrus spec.,BIRNE,PYRUS,13.545561049467153,52.41717165248755
Birne,Pyrus pyraster,BIRNE,PYRUS,13.539060437400115,52.48672924390366
Birne,Pyrus spec.,BIRNE,PYRUS,13.358258936435261,52.437753407556194
Birne,Pyrus pyraster,BIRNE,PYRUS,13.5420697530757,52.486551541417086
Birne,Pyrus pyraster,BIRNE,PYRUS,13.542388056885287,52.486533086237166
Birne,Pyrus pyraster,BIRNE,PYRUS,13.518799243559474,52.43921803675589
Birne,Pyrus pyraster,BIRNE,PYRUS,13.518713532355006,52.439150429246375
Birne,Pyrus pyraster,BIRNE,PYRUS,13.518602649425393,52.43908763121752
Birne,Pyrus pyraster,BIRNE,PYRUS,13.516699609497428,52.44112946905084
Birne,Pyrus spec.,BIRNE,PYRUS,13.48591323447517,52.49889840318861
Birne,Pyrus spec.,BIRNE,PYRUS,13.476852330664352,52.529302414619735
Birne,Pyrus pyraster,BIRNE,PYRUS,13.542314723220395,52.48653367423001
Birne,Pyrus spec.,BIRNE,PYRUS,13.535034587184333,52.513062197147924
Birne,Pyrus spec.,BIRNE,PYRUS,13.495780180544365,52.6132605364865
Birne,Pyrus spec.,BIRNE,PYRUS,13.495616988826237,52.61332946077551
Birne,Pyrus spec.,BIRNE,PYRUS,13.260722474383483,52.5052371040956
Birne,Pyrus spec.,BIRNE,PYRUS,13.260755357159903,52.5069211304943
Birne,Pyrus spec.,BIRNE,PYRUS,13.456997015579882,52.508739129778796
Birne,Pyrus spec.,BIRNE,PYRUS,13.456492532999777,52.50770647263294
Birne,Pyrus spec.,BIRNE,PYRUS,13.535616914863512,52.51298053713417
Birne,Pyrus spec.,BIRNE,PYRUS,13.352773390032326,52.435816120457005
Birne,Pyrus spec.,BIRNE,PYRUS,13.176976151735186,52.492295934235315
Birne,Pyrus spec.,BIRNE,PYRUS,13.14715099226141,52.556446996269
Birne,Pyrus spec.,BIRNE,PYRUS,13.165396190715636,52.56517008589509
Birne,Pyrus spec.,BIRNE,PYRUS,13.16543404902602,52.56489221858714
Birne,Pyrus spec.,BIRNE,PYRUS,13.165385364668037,52.56480024647187
Birne,Pyrus spec.,BIRNE,PYRUS,13.165386878513765,52.56470105010967
Birne,Pyrus spec.,BIRNE,PYRUS,13.346006780884563,52.52514762688637
Birne,Pyrus spec.,BIRNE,PYRUS,13.498804656170048,52.548311454703295
Birne,Pyrus pyraster,BIRNE,PYRUS,13.473683510763083,52.528910788532514
Birne,Pyrus spec.,BIRNE,PYRUS,13.451352162196155,52.471733179108675
Birne,Pyrus spec.,BIRNE,PYRUS,13.427819206566586,52.4936125385633
Birne,Pyrus spec.,BIRNE,PYRUS,13.427867622185245,52.493585300654345
Birne,Pyrus spec.,BIRNE,PYRUS,13.248378964545727,52.5440340598999
Birne,Pyrus spec.,BIRNE,PYRUS,13.321438374462607,52.465799986462436
Birne,Pyrus spec.,BIRNE,PYRUS,13.338474342906228,52.44153279109991
Birne,Pyrus pyraster,BIRNE,PYRUS,13.421056470270651,52.50555964400524
Birne,Pyrus spec.,BIRNE,PYRUS,13.231175664219084,52.54283294297539
Birne,Pyrus spec.,BIRNE,PYRUS,13.230412760360528,52.54588312501733
Birne,Pyrus spec.,BIRNE,PYRUS,13.23042673130407,52.545842033564206
Birne,Pyrus spec.,BIRNE,PYRUS,13.327150228940006,52.49162626502109
Birne,Pyrus spec.,BIRNE,PYRUS,13.327563135735867,52.49199325258112
Birne,Pyrus spec.,BIRNE,PYRUS,13.327836898138235,52.492237283685085
Birne,Pyrus spec.,BIRNE,PYRUS,13.327925977804997,52.4923406027454
Birne,Pyrus spec.,BIRNE,PYRUS,13.328077355188029,52.49245615630313
Birne,Pyrus spec.,BIRNE,PYRUS,13.328246695511208,52.49261726382919
Birne,Pyrus spec.,BIRNE,PYRUS,13.165400458786564,52.565256569160496
Birne,Pyrus spec.,BIRNE,PYRUS,13.310674972814565,52.59313774086365
Birne,Pyrus spec.,BIRNE,PYRUS,13.43921014013707,52.496434045897686
Birne,Pyrus spec.,BIRNE,PYRUS,13.4279771190949,52.49356203027489
Birne,Pyrus spec.,BIRNE,PYRUS,13.427924929422867,52.49357766903991
Birne,Pyrus spec.,BIRNE,PYRUS,13.231181768671808,52.5451880569695
Birne,Pyrus spec.,BIRNE,PYRUS,13.230902852483059,52.545511211364506
Birne,Pyrus spec.,BIRNE,PYRUS,13.23047061966708,52.54575466556232
Birne,Pyrus spec.,BIRNE,PYRUS,13.439320316179481,52.49646887240224
Birne,Pyrus spec.,BIRNE,PYRUS,13.1655382878589,52.56528911110581
Birne,Pyrus spec.,BIRNE,PYRUS,13.16570984901917,52.566149536309155
Birne,Pyrus spec.,BIRNE,PYRUS,13.165753327183713,52.566555088770414
Birne,Pyrus spec.,BIRNE,PYRUS,13.617438264353346,52.529727198097916
Birne,Pyrus spec.,BIRNE,PYRUS,13.617427188643418,52.52977868234013
Birne,Pyrus spec.,BIRNE,PYRUS,13.502466936792635,52.530965448914955
Birne,Pyrus spec.,BIRNE,PYRUS,13.415296028638481,52.49655642970607
Birne,Pyrus pyraster,BIRNE,PYRUS,13.388668054587502,52.53093970674851
Birne,Pyrus pyraster,BIRNE,PYRUS,13.431400698937173,52.457112842239376
Birne,Pyrus spec.,BIRNE,PYRUS,13.4321224261449,52.4751285327197
Birne,Pyrus spec.,BIRNE,PYRUS,13.206805856117033,52.52884722506127
Birne,Pyrus pyraster,BIRNE,PYRUS,13.405574079377136,52.420139193190636
Birne,Pyrus pyraster,BIRNE,PYRUS,13.405090879009544,52.42006490224084
Birne,Pyrus pyraster,BIRNE,PYRUS,13.410896887637962,52.418450706606514
Birne,Pyrus spec.,BIRNE,PYRUS,13.433760967875674,52.543972781449746
Birne,Pyrus spec.,BIRNE,PYRUS,13.433731907753083,52.54401214519277
Birne,Pyrus pyraster,BIRNE,PYRUS,13.408679899234777,52.527098517105955
Birne,Pyrus pyraster,BIRNE,PYRUS,13.45764115548881,52.42563496844814
Birne,Pyrus spec.,BIRNE,PYRUS,13.326900653721774,52.49140736667161
Birne,Pyrus spec.,BIRNE,PYRUS,13.353147096202221,52.531162569931276
Birne,Pyrus spec.,BIRNE,PYRUS,13.617902733905643,52.53047473928769
Birne,Pyrus spec.,BIRNE,PYRUS,13.15900963436445,52.45604153935951
Birne,Pyrus spec.,BIRNE,PYRUS,13.158110289714255,52.45565330093949
Birne,Pyrus spec.,BIRNE,PYRUS,13.158262887094853,52.45561915449349
Birne,Pyrus spec.,BIRNE,PYRUS,13.159083786816728,52.45598013128664
Birne,Pyrus spec.,BIRNE,PYRUS,13.158672866572315,52.455716164146644
Birne,Pyrus spec.,BIRNE,PYRUS,13.158403698734066,52.455600433462585
Birne,Pyrus spec.,BIRNE,PYRUS,13.353016619618664,52.53120312651324
Birne,Pyrus spec.,BIRNE,PYRUS,13.159411094327487,52.45588418949458
Birne,Pyrus spec.,BIRNE,PYRUS,13.158074025658626,52.455273467580504
Birne,Pyrus spec.,BIRNE,PYRUS,13.198239519277594,52.51368978083509
Birne,Pyrus spec.,BIRNE,PYRUS,13.198154211216924,52.5137163754622
Birne,Pyrus spec.,BIRNE,PYRUS,13.19780003960789,52.51369033797827
Birne,Pyrus spec.,BIRNE,PYRUS,13.49886040017895,52.548401135820804
Birne,Pyrus spec.,BIRNE,PYRUS,13.498980954174531,52.548397912951515
Birne,Pyrus spec.,BIRNE,PYRUS,13.1591463158383,52.455602124053186
Birne,Pyrus pyraster,BIRNE,PYRUS,13.513703358240447,52.43763622165608
Birne,Pyrus spec.,BIRNE,PYRUS,13.18341989333362,52.493475231043206
Birne,Pyrus spec.,BIRNE,PYRUS,13.183401898409663,52.493405070185695
Birne,Pyrus spec.,BIRNE,PYRUS,13.327839409940726,52.49254007508975
Birne,Pyrus spec.,BIRNE,PYRUS,13.211454636078072,52.5459321107814
Birne,Pyrus spec.,BIRNE,PYRUS,13.210642365303693,52.54529172397309
Birne,Pyrus spec.,BIRNE,PYRUS,13.210288639956634,52.54536383695253
Birne,Pyrus spec.,BIRNE,PYRUS,13.210519776002295,52.54531765616479
Birne,Pyrus spec.,BIRNE,PYRUS,13.210769060411286,52.54526669710737
Birne,Pyrus spec.,BIRNE,PYRUS,13.210398636130305,52.5453419251848
Birne,Pyrus spec.,BIRNE,PYRUS,13.210140967691668,52.54539528231781
Birne,Pyrus spec.,BIRNE,PYRUS,13.209347184444205,52.545556720964136
Birne,Pyrus spec.,BIRNE,PYRUS,13.209521254619176,52.545521465340464
Birne,Pyrus spec.,BIRNE,PYRUS,13.448553464915571,52.53380230422026
Birne,Pyrus spec.,BIRNE,PYRUS,13.211266180707971,52.545879585950274
Birne,Pyrus spec.,BIRNE,PYRUS,13.21141365000512,52.54585318829947
Birne,Pyrus spec.,BIRNE,PYRUS,13.209588697222015,52.53690224586204
Birne,Pyrus spec.,BIRNE,PYRUS,13.327688183278845,52.49240223419333
Birne,Pyrus spec.,BIRNE,PYRUS,13.315222447321524,52.47701449783108
Birne,Pyrus spec.,BIRNE,PYRUS,13.291332586601577,52.47305507323276
Birne,Pyrus spec.,BIRNE,PYRUS,13.147323709073282,52.55603396242255
Birne,Pyrus spec.,BIRNE,PYRUS,13.147375661456346,52.555921846317
Birne,Pyrus spec.,BIRNE,PYRUS,13.147304909954913,52.55488499425531
Birne,Pyrus spec.,BIRNE,PYRUS,13.147364160439936,52.55491221684872
Birne,Pyrus spec.,BIRNE,PYRUS,13.147439647680695,52.55486662100649
Birne,Pyrus spec.,BIRNE,PYRUS,13.147922958136308,52.55577983830624
Birne,Pyrus spec.,BIRNE,PYRUS,13.327347875563095,52.492099514117
Birne,Pyrus spec.,BIRNE,PYRUS,13.148123105991166,52.55592803162308
Birne,Pyrus spec.,BIRNE,PYRUS,13.148172113616264,52.55590546949275
Birne,Pyrus spec.,BIRNE,PYRUS,13.148212139110791,52.55595382977761
Birne,Pyrus spec.,BIRNE,PYRUS,13.148147611745882,52.55608036579312
Birne,Pyrus spec.,BIRNE,PYRUS,13.204601005665689,52.56511137976892
Birne,Pyrus spec.,BIRNE,PYRUS,13.219405000219382,52.56234773662259
Birne,Pyrus spec.,BIRNE,PYRUS,13.303924535036028,52.479940896208745
Birne,Pyrus spec.,BIRNE,PYRUS,13.148226052842633,52.55600165025198
Birne,Pyrus spec.,BIRNE,PYRUS,13.395434406225489,52.50584751628363
Birne,Pyrus spec.,BIRNE,PYRUS,13.189678147807259,52.51743624300796
Birne,Pyrus spec.,BIRNE,PYRUS,13.294181304518391,52.62273727695559
Birne,Pyrus spec.,BIRNE,PYRUS,13.293986158554333,52.433234950211926
Birne,Pyrus spec.,BIRNE,PYRUS,13.250781232854191,52.41471823622588
Birne,Pyrus spec.,BIRNE,PYRUS,13.25768701093919,52.428674704696
Birne,Pyrus spec.,BIRNE,PYRUS,13.173239910329961,52.54249962923068
Birne,Pyrus spec.,BIRNE,PYRUS,13.32730554624456,52.4920585442367
Birne,Pyrus spec.,BIRNE,PYRUS,13.326977800107425,52.49147443154715
Birne,Pyrus spec.,BIRNE,PYRUS,13.32127372804894,52.43431637061903
Birne,Pyrus spec.,BIRNE,PYRUS,13.327128567678857,52.491902062962325
Birne,Pyrus spec.,BIRNE,PYRUS,13.32690021202605,52.49169528722459
Birne,Pyrus spec.,BIRNE,PYRUS,13.326824616022796,52.491625439877666
Birne,Pyrus spec.,BIRNE,PYRUS,13.326828072282115,52.491340304271475
Birne,Pyrus pyraster,BIRNE,PYRUS,13.39687573384161,52.5277542408765
Birne,Pyrus pyraster,BIRNE,PYRUS,13.396825725103664,52.52781146134368
Birne,Pyrus pyraster,BIRNE,PYRUS,13.396755283190847,52.527797015933096
Birne,Pyrus spec.,BIRNE,PYRUS,13.326962219434007,52.49175210471384
Birne,Pyrus spec.,BIRNE,PYRUS,13.183407477403843,52.49346438380348
Birne,Pyrus spec.,BIRNE,PYRUS,13.315247920283277,52.46101196180714
Birne,Pyrus spec.,BIRNE,PYRUS,13.314674354513468,52.46086259073306
Birne,Pyrus spec.,BIRNE,PYRUS,13.35225428988483,52.43711610227527
Birne,Pyrus spec.,BIRNE,PYRUS,13.351575689524996,52.43640927895277
Birne,Pyrus spec.,BIRNE,PYRUS,13.31905721925157,52.448717881311424
Birne,Pyrus spec.,BIRNE,PYRUS,13.319314094327682,52.44878129846515
Birne,Pyrus spec.,BIRNE,PYRUS,13.319341008468962,52.448730032491426
Birne,Pyrus spec.,BIRNE,PYRUS,13.311716563272983,52.45457937778787
Birne,Pyrus spec.,BIRNE,PYRUS,13.314681723769251,52.46083644759197
Birne,Pyrus spec.,BIRNE,PYRUS,13.311803580622191,52.454617957209095
Birne,Pyrus spec.,BIRNE,PYRUS,13.32621865291322,52.45721742609102
Birne,Pyrus spec.,BIRNE,PYRUS,13.334519665363352,52.45287344190142
Birne,Pyrus spec.,BIRNE,PYRUS,13.33454967331032,52.45281821865376
Birne,Pyrus spec.,BIRNE,PYRUS,13.310521843600505,52.438847359148774
Birne,Pyrus spec.,BIRNE,PYRUS,13.315129473625642,52.461314777423404
Birne,Pyrus spec.,BIRNE,PYRUS,13.31494333230103,52.46127208097874
