art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.22859698638485,52.52336554564742
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096344728869893,52.4164901137989
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096051315744926,52.41649383017751
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096293543606794,52.41648089759331
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095963301762417,52.41643052784331
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.0960712157606,52.416513510505794
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.09603970611187,52.41643248778637
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095995618013816,52.41646886612173
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.09614499890012,52.41647681648211
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096920212171748,52.416362115967615
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096472110950268,52.41574667088124
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097632970464263,52.41747418464554
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.09757110950895,52.4173989590066
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097370871622806,52.417292737477446
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097302587946665,52.41742247040095
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097252237821548,52.41731889688094
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097284110497066,52.417382127147434
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095968238384492,52.41642336014407
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096535124025396,52.417085712078205
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096228599300469,52.41654054752491
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096212380426923,52.41652034475751
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.097258100339916,52.41900142543849
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096059867605893,52.417446645488006
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095909953907915,52.417470506786465
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096269149357257,52.41814639573653
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095578037235468,52.417081776272845
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.0956059913531,52.417103918858906
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096452570895307,52.41808628811081
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095370036197815,52.416741501066014
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095544119459822,52.416981061712384
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095121109868298,52.41671243380437
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095265634160924,52.416733213532005
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095289120193605,52.41678463364132
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095389996391713,52.416841703053045
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095321926918594,52.41664764312995
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095669782393589,52.416651092598194
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095405186539155,52.416421730412715
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.095010277177073,52.41718985165781
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.09615229725223,52.41808512069397
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096535928720938,52.4170185848595
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096009432586627,52.41682399561122
Rot-Buche,Fagus sylvatica,BUCHE,FAGUS,13.096560876128825,52.418173855088256
