art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.261036564627544,52.42439087126686
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.410407400433899,52.48054602909497
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.405033296407888,52.58404127868187
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.405016960063147,52.58404486989183
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.405252927151015,52.58507507540734
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337690110457471,52.4492584701423
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337694046780925,52.44935308365557
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337687586190563,52.44934910592099
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337600452936455,52.44937264106615
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337580217083264,52.44926780103946
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337570582388079,52.44926440716217
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.337542142251696,52.44909412502487
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.336175485504326,52.4486003625171
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.336202258144946,52.44875308954158
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.335966862732068,52.448617317297646
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.336551942253813,52.44873213693008
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.336748386989273,52.44856179725347
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.336527449734303,52.448576548685345
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.333950732122283,52.47585513858837
Buchsbaum,Buxus spec.,BUCHSBAUM,BUXUS,13.333481612796502,52.47572979989229
