art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Eibe,Taxus spec.,EIBE,TAXUS,13.337929042438578,52.44905384518073
Eibe,Taxus spec.,EIBE,TAXUS,13.2807271411509,52.45490286464552
Eibe,Taxus spec.,EIBE,TAXUS,13.281532316854316,52.45477923132234
Eibe,Taxus spec.,EIBE,TAXUS,13.281513667253384,52.45476325969367
Eibe,Taxus spec.,EIBE,TAXUS,13.281604810022122,52.453886156646774
Eibe,Taxus spec.,EIBE,TAXUS,13.281745718291228,52.453500152251614
Eibe,Taxus spec.,EIBE,TAXUS,13.281709803239718,52.45341933536337
Eibe,Taxus spec.,EIBE,TAXUS,13.281775908252708,52.45330791363718
Eibe,Taxus spec.,EIBE,TAXUS,13.281771541361591,52.453224297618334
Eibe,Taxus spec.,EIBE,TAXUS,13.28166928478434,52.453327932645884
Eibe,Taxus spec.,EIBE,TAXUS,13.281648010612106,52.453346386551196
Eibe,Taxus spec.,EIBE,TAXUS,13.281645026236639,52.45336558187132
Eibe,Taxus spec.,EIBE,TAXUS,13.281655505805967,52.45339304253444
Eibe,Taxus spec.,EIBE,TAXUS,13.281565620547893,52.453457692035784
Eibe,Taxus spec.,EIBE,TAXUS,13.281536606508272,52.45360220208007
Eibe,Taxus spec.,EIBE,TAXUS,13.28135108468805,52.45366958586876
Eibe,Taxus spec.,EIBE,TAXUS,13.281550652525434,52.45322595659782
Eibe,Taxus spec.,EIBE,TAXUS,13.281567072236165,52.453258398458054
Eibe,Taxus spec.,EIBE,TAXUS,13.281451910067906,52.45496875208287
Eibe,Taxus spec.,EIBE,TAXUS,13.281519369245917,52.45324826255749
Eibe,Taxus spec.,EIBE,TAXUS,13.281436265269239,52.45496870634227
Eibe,Taxus spec.,EIBE,TAXUS,13.28158659389025,52.454891553546986
Eibe,Taxus spec.,EIBE,TAXUS,13.280927322178039,52.45484353083716
Eibe,Taxus spec.,EIBE,TAXUS,13.281207718496631,52.454865163128844
Eibe,Taxus spec.,EIBE,TAXUS,13.281317356980876,52.45493789403164
Eibe,Taxus spec.,EIBE,TAXUS,13.281369773214132,52.45491204249092
Eibe,Taxus spec.,EIBE,TAXUS,13.281392524020031,52.45490864264906
