art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.375711206294204,52.520870769554996
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.36153798913785,52.520687907450004
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361717723271166,52.52068783356039
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361895984669669,52.52068776598305
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.362258398042487,52.520687614447425
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359750151459416,52.519376598778145
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.357092728274278,52.51954925375165
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.357262144390768,52.51954918995405
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.357439133576728,52.51954912584316
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.357615710113029,52.51954906023545
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.357802054575886,52.519548989666106
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.35797589099301,52.519548925952314
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.358153409637822,52.51954885283504
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.358330192539634,52.51954878632685
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.358508449253028,52.519548722916646
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.358683758325549,52.51954865341673
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.35885612243523,52.51954858507021
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359032905357944,52.5195485175121
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359218526237195,52.51954844276872
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359390875262285,52.51954838332405
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359567658200898,52.51954831496698
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359750334094889,52.519548241718745
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.359929326599172,52.5195481692837
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.360098742796406,52.51954810142462
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.360265950883022,52.51954803778926
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.360265860824978,52.51946536143536
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361361216294151,52.52068797891755
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361004696112897,52.52068812211827
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.360827908218285,52.52068820157151
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.360648174111613,52.52068827410949
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361718011230915,52.52094843503958
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361538277172524,52.52094851792784
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361361503282446,52.52094858938728
Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,13.361184714698842,52.520948659479956
