art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.499077987689292,52.53110855774933
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.497360072926966,52.53103040530399
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.497818207505723,52.531052084980445
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.498549960647363,52.53107951738146
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.534374550774249,52.551409584105784
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.497988540669088,52.531056162889904
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49818590946717,52.53114531610757
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.498366191170824,52.53107551075248
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.499381674329571,52.531120580727325
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.499231712941798,52.53111394180709
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49960929061148,52.531204004839125
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49907151085816,52.531179814255225
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.499249782036967,52.53119155060524
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.497532817147873,52.5310378744
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.497662330385536,52.53104479355863
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.535092969766172,52.55212414054118
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49891364915087,52.531102521895264
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49781839434878,52.531127864841594
Eisenholzbaum 'Vanessa',Parrotia persica 'Vanessa',PARROTIE,PARROTIA,13.49799525448628,52.53113406023827
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.351381847420903,52.521784780280655
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.344042056966954,52.53393547948261
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.362604912358572,52.5300023508009
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.344032166216262,52.53405985632654
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.351641230180473,52.52253702609228
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.34487656505755,52.53353324774394
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.345445043038781,52.53323904524515
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.349361930376666,52.53417870050452
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.347964392622268,52.53378046085006
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.358599835691413,52.53475398546671
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.362411427806386,52.52995919648815
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.347698907332333,52.52067632842059
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.35170420511625,52.52272597509858
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.344983544902774,52.53347914015098
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.345360901081879,52.52082363634977
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.35964480199545,52.533235647832946
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.361730847020684,52.5307655120338
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.529050025673655,52.48881950819379
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.529021768642956,52.48888002213209
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.528991048251832,52.48893569975753
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.528971031371682,52.48898510440241
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.529073962669528,52.48896716337942
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.529177960792321,52.48891720159367
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.37060385158938,52.55916851683495
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.370760808596957,52.55904573673595
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369048375301569,52.54135392105361
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369288359125102,52.54146176621215
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369510603124597,52.54157094441767
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369671061663855,52.54168097941546
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369805224721842,52.54262773164816
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369829730120198,52.54244588398434
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369852402505026,52.54226991999723
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.369869647818808,52.542109638107824
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.344995192411291,52.52137673900673
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.35013569330268,52.534198633327335
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.349093625296232,52.534036024631625
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.345660223031144,52.53311809121196
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.34457297451475,52.533691618279306
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.433596542144429,52.487059917302574
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.349801516736933,52.53415545520871
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.406539351512325,52.4931209117586
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.406950262407584,52.49313429330297
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.406004789128474,52.4932672440062
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.434500071245264,52.496965639829675
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.434558825730186,52.49696641729545
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.43458285983773,52.49702096671154
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.434750642836619,52.497185044703755
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.434771152567848,52.49716570924709
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.434709009322145,52.4971448639556
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.389529448658857,52.44238437085311
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.389423824292585,52.44237967109451
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.43080657253834,52.523631672475844
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.422862253882311,52.50332651118248
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.352167740573076,52.50475235235716
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.34828950420311,52.5175504870688
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.404166539326535,52.38555401154112
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.404166873719664,52.38553622506178
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.378691422270256,52.48073187219886
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.37808764592245,52.48254422501858
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.378464619343012,52.481162035013476
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.377962484974406,52.48092291437511
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.367887177567209,52.453693363066606
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.290943849999843,52.50914781677874
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.45265446022294,52.49304802136136
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.343968630846208,52.53400283753806
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.4053803169776,52.49337982855799
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.393117584521669,52.4377078437549
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.350111353661154,52.53426540721684
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.34414421251391,52.533998787528446
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.346555080259291,52.53337574532842
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.345592130214028,52.533254647598405
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.455566352944626,52.434335456175454
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.387620985624174,52.484166422373356
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.38759919873476,52.48412463940777
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.387543800808665,52.48412449925929
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.451600199643739,52.43624690603201
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.469754287263607,52.42654691938083
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.469928698603852,52.42645152408051
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.468960253760661,52.42731717066082
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.45264519106675,52.435703992096165
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.452065838985414,52.43621526895589
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.451935123277023,52.4363334120602
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.451801883964459,52.436249396880264
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.465618563973772,52.42942083857738
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.527577809287527,52.56066364587614
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.36667247810322,52.44564817119709
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.55577473808822,52.43634308925443
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.555844738718992,52.43636138681025
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.391635596656839,52.439611499042975
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.34486833582716,52.47516244319661
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.393345873261959,52.437764550629744
"Eisenholzbaum, Parrotie",Parrotia persica,PARROTIE,PARROTIA,13.625168727981835,52.51116968750691
