art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.376748446588383,52.40818077653884
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.4624945882315,52.55707905678595
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461847410302283,52.557072055307984
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.46174716758984,52.55707097209047
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461431679935743,52.557067566955006
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461325538749469,52.55706642110005
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.46060908094346,52.557058668741355
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.458736750072891,52.55752635212218
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.458864230007713,52.5574727220227
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.459197444896368,52.55732069362265
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.459371433204025,52.55724221765974
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.459490182913372,52.55718837706554
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.459706861495492,52.55708893273816
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461149070491777,52.55695887551946
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.462017375442917,52.556967950252634
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.462138259513578,52.55696921419553
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.462645400433411,52.55697451055926
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.463991058577037,52.55699011730804
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461348081624156,52.55696095988684
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.461463068597475,52.55696216315224
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464370223078546,52.556994402837894
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464448483829031,52.5569950314539
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464530132695668,52.55699617689029
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464750575570955,52.55699647909949
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464847868769755,52.556997492751215
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.465262125194652,52.55700180524068
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.465359419586507,52.55700282747811
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.46551716382384,52.55700447142507
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.462597780247014,52.55708017048198
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.462689176730393,52.557081159672364
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.463075731827068,52.557084579699186
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.463161230457539,52.557085488352854
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.392592262437251,52.43750330166389
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.369442321355582,52.51829846724839
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.443326033580751,52.50068122643229
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.396591773493592,52.56896643599307
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.396577807377184,52.568957691894546
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.396559236677795,52.56895531939117
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.464748486983556,52.490878741358806
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.508974669727797,52.524138605316196
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.232916339475942,52.52576730550905
Elsbeere,Sorbus torminalis,MEHLBEERE,SORBUS,13.474658410824365,52.5293638179139
