art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amerikanische Eberesche,Sorbus americana,MEHLBEERE,SORBUS,13.37059098066519,52.41064091071117
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.51863040454296,52.50889134653047
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.385146318969573,52.56109188383635
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.38470848839911,52.56046734450993
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.266654241208913,52.51371319680459
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.468419856576586,52.52990834170286
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.477389085669165,52.50972655536788
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.518705579768898,52.508740625553536
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.518684377159081,52.50880258112045
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.266585272783207,52.51356937320723
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.45889831241278,52.45384371516002
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.266877695420728,52.51383941903489
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.26690977897499,52.51392035065546
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.45902706077494,52.45387247587902
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.458613624683878,52.45362529564455
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.458499283933929,52.45359889272519
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.458353191017899,52.45356651207582
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.51857661183688,52.50898119667927
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.477194242462524,52.50968931385413
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.476959835902926,52.50964208714794
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.46864819856942,52.5297867670846
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.266946648220587,52.51398704461176
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.266595940803201,52.51321750012587
Amerikanische Esche,Fraxinus pennsylvanica 'Summit',ESCHE,FRAXINUS,13.458778825843266,52.453816046943814
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.514426752977055,52.497830332937966
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.359949909501076,52.53375562919404
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.512476972377312,52.50441964775603
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.471687244046812,52.533829030074585
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.51246438549197,52.50450604196289
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360184604480844,52.53382775593559
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360025316694705,52.53372828660215
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.359992879974659,52.53377097098236
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.36007071587532,52.53379406610151
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.344890146853357,52.46917472526327
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.345126040672772,52.46918168110401
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360443295385695,52.5338287102701
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360409475745907,52.53386435715384
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360456590885134,52.533878911930096
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.360487816009494,52.53384356895268
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.386285204818709,52.56748384973786
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.385544479261029,52.56746171947404
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.359981484643972,52.53371481921745
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.421116757167491,52.55186839859103
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.421244740596219,52.55199667199204
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.477180260827875,52.48759260098787
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.413740423217739,52.54374387431115
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.413832139586404,52.54371872383383
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.40427578493784,52.546465846265335
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.404239172147586,52.54646512157781
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.47983790698205,52.48326636336234
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.394373014076173,52.44543235925469
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.36793569540666,52.41349318220712
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.386314626140233,52.484547907421124
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.520215416725106,52.5043014237118
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.521354315162196,52.50064005204666
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.434386257188248,52.538589798627555
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.379951778633638,52.54040998205627
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.47095131395436,52.53366120759268
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.36585516556269,52.59388029360156
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.369885050405104,52.459885145149265
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.468979065558173,52.51061521419575
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420969064177976,52.55173383634859
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420894814178975,52.55175392611685
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.477080876456386,52.487542037250066
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.38637226098988,52.56735704835526
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420479141527347,52.552032303202004
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420538572655897,52.55209711217881
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.475717691339465,52.527131734254105
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.492871306016724,52.518357077728254
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.489405382224458,52.4637487315657
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420324068370126,52.55189213288036
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.42041395488561,52.55187000348674
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420490416758607,52.551849737640104
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420563759283821,52.551834678168404
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420659245899985,52.551813007230734
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.519715045823542,52.463873020792754
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.475914504290714,52.532673527265764
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.420819827807165,52.55177410581467
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.421215848887522,52.55196698496659
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.386903208666814,52.56728498352143
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.471463158386593,52.53377679094529
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.387427021480141,52.56722028976186
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302280741883848,52.50376413352073
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302200499560076,52.50376157668937
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302126912182565,52.50376545501057
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.30210849297406,52.503800972973195
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.563054287901204,52.54175548298359
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.578569248411249,52.44591600382355
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.569915187637147,52.44435628148446
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.251363925408747,52.50624711516526
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.62682535695122,52.5243064508789
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.502436082602177,52.64342208095769
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.503134432401353,52.6438231291498
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.504320044734316,52.64447598058387
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.504587145547749,52.644623069852734
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.504931722430674,52.64481200829022
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.506948731339754,52.64591369373543
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.585014540643856,52.44450997808636
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.585486230388241,52.44469689112636
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.38721953200266,52.56724493347615
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.585015409395012,52.44448286898919
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.58510070509523,52.444518146122526
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.55962256268043,52.44386708177977
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.562976880370002,52.54180715862409
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302309493453468,52.5037513793804
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.563918036148024,52.52059930518595
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302395203314374,52.50379126336031
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.316856132143988,52.443856710532046
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.316862320538739,52.44370039993162
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.36072360371069,52.44696501524527
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.386883329297563,52.56740394252468
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.34199177379897,52.43458082918351
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302473298836503,52.50382529354236
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.616990191785685,52.51540952472031
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.302033741649963,52.41292905980053
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.385483317861658,52.567588394196676
Blasenesche,Koelreuteria paniculata,BLASENESCHE,KOELREUTERIA,13.604580018972143,52.52931322670064
Blumen-Esche,Fraxinus ornus,ESCHE,FRAXINUS,13.463525717895342,52.509675025906255
Blumen-Esche,Fraxinus ornus,ESCHE,FRAXINUS,13.462299431899002,52.50986461650406
Blumen-Esche,Fraxinus ornus,ESCHE,FRAXINUS,13.400761487432845,52.50211784804983
Blumen-Esche,Fraxinus ornus,ESCHE,FRAXINUS,13.462440877376572,52.50984899229959
Blumen-Esche,Fraxinus ornus,ESCHE,FRAXINUS,13.462551844728615,52.50982356819953
