art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.30709181106875,52.586122770969375
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.564260694078984,52.53500036961181
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.532710134953016,52.428688797521325
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.63928427415956,52.34709844059994
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.714117448602146,52.43522898034755
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.603802529662655,52.45758230337912
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.641643186568976,52.34838235871989
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.639242636751423,52.34707915892679
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.524790783764153,52.463901256015596
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.524840695230797,52.4639487505026
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.603863201761063,52.45757711257397
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.603744494718232,52.45758224760397
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.712058331824784,52.43591084600658
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.581445754270304,52.48328261986852
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.453981681345997,52.570839525357364
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.456343110360447,52.568922773006584
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.456399307391884,52.56888084105571
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.45644114451223,52.56884541020955
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.31132703308985,52.41532978589361
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.591351241244096,52.41642289347793
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.479050652737731,52.49960240788822
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.466892907133113,52.609110740782974
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.466955813544022,52.60915555999003
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.46699782041562,52.60918345845178
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.548633789615034,52.49483571502198
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.54684049845626,52.517929472862356
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55285855385561,52.515681508766406
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.559728284062956,52.556413402806086
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.560451406326626,52.49658233638073
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.560397030834018,52.49657965808098
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.560380539304488,52.496493565257154
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.555441282694558,52.49725882575558
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.552871317254858,52.496245372804054
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.552827851086418,52.496252741464694
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.558737890697433,52.49502738673551
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55872867016642,52.494974520103476
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.558678811868981,52.494574682853106
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55269728882509,52.496286604595916
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.552667935203829,52.49585365998307
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.466749563904397,52.60913148278037
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.552650126161149,52.49581272754651
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.554870409341753,52.47999715792661
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.554511080423133,52.480007724009454
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55345302808822,52.49273719015264
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.566216496658814,52.496160264729184
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.566155474732463,52.496167999138606
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55846206889918,52.49110616708027
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.544222013054858,52.500124901567474
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.555187830169482,52.54889511644294
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.555251156540523,52.54888835235514
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.555295943608344,52.548867803742326
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.548426250136547,52.52365606161905
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.552645121322547,52.49577408350255
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.551020564455227,52.52790807764899
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.642970272871521,52.52095587195831
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.57619826350867,52.49957761744837
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.621378825055134,52.49568230380051
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.560723292106772,52.48069429286888
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.565218642740406,52.494451660612604
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.62112992760935,52.51752455720548
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.560343154379495,52.49649058838611
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.63925138947264,52.52702096141763
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.639319172669344,52.52706170401227
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.62610710734137,52.510922836227024
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.549603305780465,52.49312103330183
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.641229869831207,52.52817963585108
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.641227245390734,52.52818499840385
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.641210738951376,52.52817631078088
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.580919164896123,52.4889212458898
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.56687658229557,52.48734717898434
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.577608233130714,52.49738154801415
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.57980359656912,52.48325261361652
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.579842102903575,52.483348441786454
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.581693286116769,52.48050533000085
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.597602153116526,52.50616975819234
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.561699378874499,52.531626411611114
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.5616230796978,52.53163696027588
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.561786707404073,52.53161815923621
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55105717704021,52.52790494484552
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.55007737445193,52.50658097675502
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.550118528933854,52.50663530883839
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.633344480892776,52.523071442913846
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.623047481588596,52.52406834814366
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.713827714097423,52.426814705305205
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.596527346771287,52.50763713315949
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.59641001804959,52.507685015929724
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.655895685411926,52.525243339322735
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.655946321781194,52.52525717853437
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.656017517001905,52.52530279270686
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.642904596953546,52.52191135016257
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.652928863471406,52.52505426518357
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.654338891873788,52.52592919999389
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.65431995521979,52.52591913525526
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.640861202510846,52.52195243375189
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.571673404924521,52.48597238186038
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.65649469954061,52.52720393203779
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.656744170872225,52.52553428051028
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.656751583360409,52.52547878985346
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.63120764101545,52.51969430841141
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.627468345309559,52.51695077471582
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.62749366691409,52.516966370810685
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.633801243204978,52.51496463201187
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.638407330276369,52.52625966399924
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.62665915939695,52.51622793487867
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.622065730090437,52.52287017381215
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.632907372571621,52.516070620853036
Essigbaum,Rhus typhina,ESSIGBAUM,RHUS,13.623160543537633,52.52419310317009
