art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
"Alcock-Fichte, Bunt-Fichte",Picea alcoquiana,FICHTE,PICEA,13.436489383289974,52.44759428767949
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.576519336756917,52.464658090935224
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.4301460381691,52.52285920891437
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.56283306581227,52.49650529304175
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.56279288764578,52.49650511785437
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.357519509037317,52.569781185201016
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430162925247268,52.52288891543214
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430216623978476,52.522887887129954
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430290678664509,52.522894270403626
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430346590832462,52.52289553174892
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.348454616568308,52.57153106537066
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.347973571869861,52.57175774792273
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.348885577783054,52.57190463826314
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.452995556292395,52.556684056792776
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.348733601702785,52.57204227554929
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430462848952272,52.52289822285866
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.562764132787152,52.496507044144806
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.562695362217472,52.496511131226136
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.430554020000343,52.52288645712147
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.427848757030901,52.58200312594926
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.562732591270763,52.49650674188953
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.569994289163299,52.547541651380655
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.57000560405445,52.54759917935033
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.559134055761989,52.55831419308741
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.547262307638144,52.41688527493757
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.50103327584575,52.45630687356203
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.559369319147619,52.54864101522296
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.374399296197335,52.569342710638516
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.480869143045997,52.61451796713101
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.544700893409987,52.50025414507688
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.385305416893114,52.572582874847285
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.384801689247457,52.57246354657999
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.38450360862791,52.5725538913606
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.3847678444855,52.572761291535976
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.3859604635088,52.57159627287891
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.386351214327698,52.571524565450055
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.385783529828991,52.571503200538004
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.386516950249142,52.571902943551194
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.387414589827483,52.5711724426415
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.387155722303852,52.57141206737042
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.387062441899495,52.57134292608354
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.387751264337652,52.57115469443125
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.500747071790828,52.45635880219635
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.388618750545064,52.570762341162656
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.388146984133545,52.5710431529642
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.38788663742879,52.570480309565106
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.563188233486883,52.53497190210674
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.543530824085975,52.53081235909135
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.534484988408394,52.52589239598318
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.53451769439305,52.52588217104396
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.534543004118454,52.52589645364819
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.303946030701571,52.61266664412487
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.552765893209909,52.50588158650775
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.558078745222357,52.49666597877993
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.552922238941314,52.49624849963222
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.553127851426213,52.50251580137518
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.38859822731261,52.57076765332535
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.570444041483428,52.55013696069874
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.500668179622174,52.456402720410914
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.575329564630525,52.51204491764832
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.481661915084857,52.53494427772197
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.567014265771371,52.538764416240646
Blaue Stech-Fichte 'Glauca',Picea pungens 'Glauca',FICHTE,PICEA,13.339626913578243,52.56798914085651
