art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.43566713510765,52.476708822637775
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.406335827856198,52.492755608569354
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.703473474158146,52.43381734927003
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.476537384820586,52.50947404095214
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.431135557787407,52.45694738601512
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.431103569176305,52.45687344122774
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.431108982763764,52.45688635237109
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.525450575028747,52.400427174686726
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.43093340130628,52.45690767855457
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.355616616748195,52.510613147003234
Flügelnuss,Pterocarya spec.,FLÜGELNUSS,PTEROCARYA,13.341389971779689,52.43488445872299
Flügelnuss,Pterocarya spec.,FLÜGELNUSS,PTEROCARYA,13.341381001903736,52.43489089740619
Flügelnuss,Pterocarya spec.,FLÜGELNUSS,PTEROCARYA,13.341452181094162,52.43489756580365
Flügelnuss,Pterocarya spec.,FLÜGELNUSS,PTEROCARYA,13.341457972961463,52.43489019779514
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.352359297890422,52.50998255997228
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.355634125898485,52.51062074059638
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.208832135867414,52.53808252512251
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.497630851490605,52.51613690943537
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.416976806596836,52.48144288323689
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.430095856949071,52.456831206666855
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.43012367111414,52.45680523190036
Flügelnuss,Pterocarya fraxinifolia,FLÜGELNUSS,PTEROCARYA,13.439003942822497,52.45817842656633
