art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.418066935404374,52.48426447198799
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.35687230918649,52.50397761122186
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.343729694387338,52.53398656723027
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.345468855223533,52.533196592149594
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.345368652677331,52.53324635512278
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.345296045321827,52.53328339571478
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.34517382018905,52.533345722274674
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.345044887799656,52.53341298544102
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344895888201837,52.5334888006873
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344811986046075,52.53353360509024
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.326801536155772,52.52955268513046
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344722137658602,52.53357950140243
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344287419721162,52.53381440539475
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.34417467249769,52.533871353781805
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344380987044618,52.53376534711359
Fächerblattbaum,Ginkgo biloba 'Princeton Sentry',GINKGO,GINKGO,13.342568049253368,52.53205439826647
Fächerblattbaum,Ginkgo biloba 'Princeton Sentry',GINKGO,GINKGO,13.345222519782636,52.53139044009781
Fächerblattbaum,Ginkgo biloba 'Princeton Sentry',GINKGO,GINKGO,13.338350686226077,52.529652655789626
Fächerblattbaum,Ginkgo biloba 'Princeton Sentry',GINKGO,GINKGO,13.338771443466175,52.53141997580176
Fächerblattbaum,Ginkgo biloba 'Princeton Sentry',GINKGO,GINKGO,13.338069822282021,52.52849247060116
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.380428361751813,52.518720145844696
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.344618000909268,52.53363601229452
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.380444884392693,52.51863963377113
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.326788530119025,52.52980286404318
Fächerblattbaum,Ginkgo biloba,GINKGO,GINKGO,13.3267650160954,52.530440281229176
