art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.321951877320068,52.616408700999024
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43024618793543,52.46447024085109
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43024725692455,52.46444640161466
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43030626275653,52.464441709180626
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43036642037521,52.464494017681695
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430381627180841,52.46445925306042
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430487804540942,52.464521837692246
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43050999559283,52.46450674838577
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43015804325925,52.464475112924994
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430530727331199,52.46452026741468
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43005883740526,52.4644925605303
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430268084649683,52.46451555897602
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430332591770288,52.4645825717462
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43026138530554,52.46460331323854
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430208081505668,52.46465833266851
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.604334583708948,52.53278169264501
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.6455728938361,52.52917977627234
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430595557014762,52.464484695717054
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.60341456663062,52.506089514310894
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430119749196532,52.464408654802135
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430049054665586,52.46446093479837
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.32193884874538,52.616422521724246
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430314892223256,52.550500525961944
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.423216693798794,52.56712194351866
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.42326606779874,52.56713801795945
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.423273360755568,52.567152388267786
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.419107333577685,52.57793371732862
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.418109542642114,52.57853496305906
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.43008274790724,52.46444901027875
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.457537234715257,52.53131839830665
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.443554453163705,52.454411049179654
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.339991647833898,52.57033259668941
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.316242098269667,52.474154074784416
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.429601590829806,52.46545507571861
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.42957393015858,52.46545341371464
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.429525484497514,52.46544675537356
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.430024164758523,52.46439838588747
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.611524034227868,52.52735655722871
Gemeiner Flieder,Syringa vulgaris,FLIEDER,SYRINGA,13.626323818800115,52.510879316426795
