art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Alpengoldregen,Laburnum alpinum,GOLDREGEN,LABURNUM,13.45789135414324,52.4407994981347
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.425735313056348,52.43118180193331
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.625250591283006,52.51135335056835
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.555550752396266,52.537689428612346
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.28374539340366,52.45794070435875
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.365852102715204,52.545671649787614
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.365529733618725,52.54605182662554
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.207436141817187,52.53462406707418
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.387191446624339,52.5669140185704
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.36002438532241,52.56553949668373
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.416279797355422,52.3878681416796
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.37724584854001,52.598933284144934
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.597514849281039,52.50740210641558
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.591634927482353,52.5287761930129
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.267534137261764,52.44586763759262
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.267515854593476,52.44593785454045
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.586327854897215,52.509976172081956
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.652621770110763,52.52354189021576
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.48438773630989,52.526592800886085
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.618976843722583,52.51887752039113
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.646722428645438,52.529106772943585
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.625196452209252,52.51414626251978
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.556930022347192,52.511505784543424
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.557342917896152,52.51027541494963
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.556882511481435,52.53770668041238
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.424260235713776,52.43009227667233
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.425045338506123,52.43068760953282
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.42460676794525,52.43036384422684
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.424862674581004,52.43055311835671
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.425193069589291,52.430841416594205
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.424134948283665,52.429764327167305
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.304292262018025,52.48424635123898
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.303968910286132,52.48462071011771
Gemeiner Goldregen,Laburnum anagyroides,GOLDREGEN,LABURNUM,13.298433899492276,52.4821285004331
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.176453710913565,52.42140836807906
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.174216812991475,52.42057673273011
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.174257074243847,52.42062310142278
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.418837559732857,52.55984795343053
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.17430629336813,52.42055218961111
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.173907641873074,52.420601485112456
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.596604640168858,52.53257056155651
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.174711830265794,52.420564575439066
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.17623280054214,52.421055426287616
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.176415879780961,52.42144946806644
Goldregen,Laburnum spec.,GOLDREGEN,LABURNUM,13.176177951475427,52.421014346791594
