art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.348438045744842,52.57209405642769
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.339469108383437,52.56951013803865
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.341041823779154,52.571082684531376
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.354515147620392,52.5648413341516
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.354476395954745,52.56483365928689
Blumen-Hartriegel,Cornus florida,HARTRIEGEL,CORNUS,13.45939806612601,52.59476714884477
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.522391118015722,52.53182347743056
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.459566393701987,52.546842573184904
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.469401131605165,52.59890759290143
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.395002243114185,52.568788549389616
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.421755863700492,52.57451314923364
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.522293567919109,52.53184611325369
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.42178527709514,52.57453838067559
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.421732005454027,52.574562281507866
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.42339588259112,52.56725384954779
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.42466558049846,52.56726202825003
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.423805219695707,52.56721446856735
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.303363319163207,52.42583653393713
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.428674614390587,52.53851891211154
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.428695114705576,52.53850942634285
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.380904681949149,52.50054541794324
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.39795430799702,52.49771564041233
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.397962175979485,52.49773019745835
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.421774744326882,52.57447539430427
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.522292368525754,52.53185812453092
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.423148588719865,52.56714863059772
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.506619818228733,52.55524252661379
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.303343833346288,52.4258162863775
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.303336305195371,52.42580963625671
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.380661754692357,52.589439747421345
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.575383814965345,52.48444233086248
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.592073001332643,52.508646562879214
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.460418822524566,52.53152944137825
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.550077176159194,52.501628545503415
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.550040589666375,52.50161708684135
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.506641955034924,52.55526459443762
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.210793981837295,52.55026819431215
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.19985319126459,52.56551761080035
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.558117839628594,52.511161034785054
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.3378297225602,52.56994166969366
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.48605072255284,52.51713798734572
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.486041227392757,52.51711798950568
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.48603991866978,52.517096853852415
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.507759892610638,52.56756357238761
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.408329847815688,52.49716187620006
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.43342927187593,52.45758905385702
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.513949492384405,52.48152619763043
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.52955301113084,52.519811705731875
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271123031760567,52.442534902071834
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.298040594658033,52.48105212071534
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.300744653777283,52.485712149558765
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271153578432726,52.44264900091746
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271211356872787,52.442654366562664
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271205135838049,52.44258217953176
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271145334745254,52.442616785831724
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271113355787381,52.44257485112778
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271115215467251,52.4425551270675
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.28829996752052,52.44897558745391
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.298215569404437,52.48215385089063
Hartriegel,Cornus spec.,HARTRIEGEL,CORNUS,13.271077147422565,52.44193243605872
