art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.253184729099189,52.515232587218435
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.464835742332472,52.505102235711675
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.447224071911371,52.51792518869478
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.447137163900877,52.51804665335013
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.460297888049924,52.50034890231505
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.463690171629304,52.5048102449932
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.463929636986235,52.499165608492056
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.402727529258419,52.49013114274988
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.46385493651788,52.51651497963364
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.370794247518589,52.48924951516577
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.479572992967324,52.61391135598283
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.479415087933406,52.61398035471905
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.479237209723655,52.61406199955814
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47836896207107,52.614456765091795
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.478114334589836,52.61457434762775
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.27961824937567,52.460839771918344
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.448656031004276,52.51833784668431
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.446619420823822,52.518733255970396
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.390616133548606,52.49210652341187
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.469594133385145,52.5155261946767
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.469746321603484,52.515499638984856
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.469883300709663,52.51547540390641
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.470018964987549,52.51544947394906
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.470150360232378,52.5154276829433
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.470461605717803,52.51537465963069
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47061651258223,52.51534897772549
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.470871345015249,52.51529690190663
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.471169196875358,52.515244760997
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.471298044151592,52.515215840106535
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.471456799650658,52.51519189263928
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47159300467703,52.51516765458144
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.467507531529355,52.515896837475665
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.392315887262107,52.49013679263052
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.46765407715366,52.51587440658546
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.411919260801358,52.548725622068254
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.411804976544008,52.54873314350496
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.41167506317881,52.54874126519397
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.411543673513536,52.54874983266292
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.401900809913059,52.54856368597726
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.402045036357176,52.5485819330344
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.402222009870043,52.548596287400194
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.477140068817834,52.6150103980937
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.476821855246936,52.615155934606186
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47669719622836,52.615214367784745
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47635330676537,52.61537208358724
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.475871943831022,52.61558670371884
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47692092502153,52.61511139755782
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.475284141861064,52.61585689259828
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.475073720275825,52.61595178917966
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.474582627704919,52.61617554931422
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.474403243041316,52.61626015072091
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.473640063727238,52.61660325481145
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.47351334320923,52.61665781811058
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.40177218617052,52.54854987251117
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.469285372364487,52.515586797598
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.401620255977798,52.54853906905511
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.401038815003194,52.54848844633991
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.411257905652343,52.548765309047646
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.410765974322148,52.54879613550156
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.410448338473724,52.548816853577954
Baum-Hasel,Corylus colurna,HASEL,CORYLUS,13.409704690129749,52.54886285148869
