art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.46082235693717,52.55218074403974
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.34682911796436,52.458628746373364
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.346832776031485,52.458611212488705
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.34683361978044,52.45852739827116
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.346941101782264,52.45846999567645
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347614327376032,52.45847440428359
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347780954666685,52.4584981027024
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347931356756138,52.458490995997046
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347957503810974,52.4584884310289
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347305287590364,52.45843305456981
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.346901163471106,52.457992604385765
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.346912623252853,52.457996304420206
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347009844913849,52.45798114204009
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347038078093101,52.457988617257186
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347171581153468,52.45799201083247
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347172995360769,52.4579671815712
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347214360654938,52.45796243420356
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.34726612788103,52.45796463764743
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347294084293438,52.457968578084305
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347352933138819,52.45795284857249
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347370436525715,52.457990072255704
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.34769041228455,52.45797689813069
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347775495035581,52.45799444459728
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347812381060299,52.45798514512505
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.348089621567473,52.45779996341457
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347925959943181,52.45780822026862
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347873223127122,52.457799170242545
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.347833235183185,52.45780644832909
"Hickorynuss, Bitternuss",Carya spec.,HICKORY,CARYA,13.34682993708535,52.45873594751127
