art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.467392164772045,52.50005206447153
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.461696746653109,52.53117433154278
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.458488073157952,52.50678318929323
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.382560239337817,52.49745702763005
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.382645079899445,52.497435562274696
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.465433636148857,52.502119945635705
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.467586371813386,52.49994927634587
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.303636380267253,52.46452478383839
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.281200562899976,52.451390066494454
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.332392273151196,52.44573200644705
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.461213036315435,52.53059620467801
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.335915215205269,52.44610730928695
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.33265213836989,52.448555521941316
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.332263529806546,52.447519813687535
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.334538803358686,52.448363679178634
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.247163971525616,52.42793402779642
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.287276491241094,52.4487830471917
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.288324379493968,52.448987015416165
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.458810884906557,52.50715557970131
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.410521396487065,52.539577578554585
Holunder,Sambucus spec.,HOLLUNDER,SAMBUCUS,13.480945355856838,52.482575017782125
