art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.357815168308592,52.49079237717703
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.535406716885873,52.41475554939202
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.512023128767034,52.45027549190524
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.514635383919975,52.48499283930516
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.514964373478279,52.48512397026478
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.514801271100476,52.485058421933076
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.535520199325068,52.414958017221025
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.535577446227627,52.41506410444128
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.53563689565602,52.415171180957906
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.53569619841036,52.415277988589764
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.573369499584876,52.45907563421022
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.573392360318888,52.459027565521104
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.513516291818517,52.44874983358942
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.57344250974144,52.45891974922201
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.481727400002857,52.448973498642346
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.51302064218504,52.44931542551137
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.51185611400965,52.45058554862367
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.511906005425057,52.450404695785444
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.535755648563674,52.41538461639463
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.535853158149175,52.41556559337403
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.547283430091586,52.417092661481355
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.54734434579081,52.41719306688376
Gewöhnlicher Judasbaum,Cercis siliquastrum,JUDASBAUM,CERCIS,13.547373491789557,52.41725030244131
