art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amerikanische Zwergkastanie,Aesculus discolor,ROSSKASTANIE,AESCULUS,13.591280954745477,52.48126000276105
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.562837029283735,52.55118994693894
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.564135516764622,52.552021037257674
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.564202995489952,52.551965335704175
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.48178757421005,52.604963418459185
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.564257345285688,52.55194849154948
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.564534745158564,52.55210168738322
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561475063750322,52.55031195562125
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.553359982491278,52.50053407008081
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.5644155189518,52.55212650106493
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497623221213997,52.63601030569309
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497601698776789,52.63605652595097
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497502324556804,52.63603952363884
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.389736021651034,52.53259213377653
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.544793259495586,52.52832650841595
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.564505237448396,52.552117749530126
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561430796421456,52.55027607010742
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561360902811138,52.550230565793576
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561245408311093,52.550153569656544
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.375972398097838,52.45363086747175
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.376308491352022,52.45373936956162
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.563669375049876,52.53141059045416
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.376511953092248,52.45376714682162
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.358351478689425,52.492670633518294
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561774441820853,52.550194841887745
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561223464615184,52.550028304012855
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561368898344151,52.5499836285155
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561413810556944,52.54996948150656
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.498245206649228,52.63611957231221
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.498018200932588,52.63608006409505
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497899566913896,52.63606001729385
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.40579260923781,52.49270463310318
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561582634649762,52.54991668446918
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.561822174680723,52.55046937488636
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497369733764868,52.63601406035227
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.357965914762293,52.56431763748125
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.497253341220954,52.63599339129761
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.361802222897422,52.45984071831755
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.48041582776642,52.533713022609255
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480258826964004,52.53368559907014
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.444878298243582,52.49065373707837
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.33748544008508,52.48159396849569
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.48019243027497,52.53366619628387
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480202440451693,52.533625319756084
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480259051864433,52.53375120090812
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480185145411822,52.53359690110316
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480333484590018,52.53365846278951
"Esskastanie, Marone",Castanea sativa,KASTANIE,CASTANEA,13.480414200771802,52.53367051403444
