art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.466067972704876,52.46866861114389
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371560317155978,52.51057583429404
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371535203080587,52.51066516871927
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371511122623401,52.51075388618854
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371474722414295,52.51084882227201
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.38608491040009,52.53281322506504
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.387716245561336,52.55025716989334
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.383240223602227,52.56169038021606
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.363858577882802,52.527441474905096
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.363881146042997,52.527481739786154
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.32571869217933,52.53090332540348
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.34316430371707,52.53321584221737
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.370197846319202,52.45985634805758
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.339644143631336,52.488902031385706
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.444407211127825,52.48440848296043
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.439825304144618,52.44736897406425
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.439764755634293,52.4473950946175
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.439746481549236,52.44725264083658
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.439765166237603,52.44723899607824
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.439455317244073,52.447285482508526
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371605395623023,52.51039901325532
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.380963453890423,52.54562786500256
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371628476976635,52.510307175583435
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371674584869554,52.5101303560941
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.535264824590204,52.48990168883374
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.535888837204576,52.48987254049579
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.5338732872215,52.48487289361931
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533828752949901,52.48493458707477
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533764458142722,52.484994305726495
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533722582085863,52.48506121898257
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533639864270778,52.48516393601562
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533343035200277,52.48554677370226
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.53322037602773,52.48568436123097
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.532975030898335,52.4859078230954
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.532788721881222,52.486059395692834
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.532783775273685,52.4862080315508
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.532978673315693,52.486037586430804
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533402009482367,52.48563411131016
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.533497419987107,52.485515441768136
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.340320365923704,52.549503939076935
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.37174478319835,52.509862959840426
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371720697089058,52.50995041942375
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371696617596047,52.5100416436727
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.371650512859835,52.51021782484627
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.535147605023159,52.48991094207585
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.273956041160451,52.57357342737524
"Katsurabaum, Kuchenbaum",Cercidiphyllum japonicum,KUCHENBAUM,CERCIDIPHYLLUM,13.291246812929154,52.47707942231799
