art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Zwergschwarzkiefer,Pinus nigra 'Compacta',KIEFER,PINUS,13.297610271005135,52.61545497156639
Zwergschwarzkiefer,Pinus nigra 'Compacta',KIEFER,PINUS,13.297623278096502,52.615430550011325
Zwergschwarzkiefer,Pinus nigra 'Compacta',KIEFER,PINUS,13.29756669986095,52.61545068769704
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489551705372962,52.539807700721894
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489622539374604,52.54746934491105
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489572179284426,52.54747553269482
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.502417370525757,52.536789951745995
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.481585679655128,52.534005985047166
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489769087922802,52.53545364885593
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.483260262080059,52.537281255901796
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.483300914460731,52.53729010159607
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.494209590290671,52.53740831323483
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.481870631832043,52.53549790038356
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.481463855644586,52.53556740384582
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.495032720569155,52.547025354745344
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.494980851918301,52.547023815924575
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489278580168719,52.53995100002286
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489349073146247,52.53992136025777
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489380501457875,52.53990008872722
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489372831423276,52.53988816864126
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489401868190209,52.53988952465448
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489399213492284,52.53987274334372
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489435705552134,52.53987831505093
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.48942737486349,52.53985982404785
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489461921515689,52.53986240120954
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.48944965081642,52.539843306080705
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489483031757235,52.53984603469096
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489490487170565,52.539829715077346
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489514087367565,52.53982101184306
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.48951314947735,52.5398012971225
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.48949062924778,52.54715950911443
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.489356208118206,52.53990174857485
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.229288638093651,52.52343948690081
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.53265248659012,52.56664243418482
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.481443932149773,52.529872974766846
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.480946383210085,52.53151162023898
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.480948846677594,52.53148855587269
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.47526620871348,52.517560351592984
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.467409401240948,52.52909763979296
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.50202284843989,52.56943742655365
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.520264584853237,52.557783098496955
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.51274139916817,52.48202699551404
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.512745706619548,52.48201512131114
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.505587877613497,52.569638488108865
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.50957834658095,52.567564899571636
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.505820185269625,52.56925675792838
Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,KIEFER,PINUS,13.526583901994789,52.49339827789628
