art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.23200615095229,52.525471199689825
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539934991037264,52.52211567080309
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539954723367968,52.522088509055834
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539860104561146,52.52206075457963
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539907288782423,52.52198477553284
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539944811598764,52.52195433672498
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.540194975448978,52.52198701120224
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.540248750506997,52.5219566954631
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.52545944381593,52.5309652255272
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.55357437664484,52.5332463770652
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.55371696266713,52.53321220011924
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.553386320054491,52.53333441718261
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.553385498036251,52.53341800797406
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.553283337166368,52.53363130957509
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.561115841867222,52.564673444425544
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.615956713655486,52.537900983792646
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.593663960409424,52.478647904625305
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.59369001293094,52.47865231691394
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.487098087927352,52.54817136567405
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.487099493242619,52.548155892258734
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.486866141035698,52.54797359602104
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.552804409463274,52.4097726757847
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.5528237443162,52.40976589945788
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.552874129966918,52.409753748967255
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.540110817749959,52.52212822275569
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.46552290762714,52.487695411639
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.584302854570904,52.53822711372562
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.584014863023997,52.53853932735561
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.583675661861788,52.538849729022644
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.583144564173452,52.539088273226945
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.582545568114588,52.5392150234276
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.59370156069949,52.47867101056432
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.618696559002583,52.49045133331661
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.500771743110244,52.49813335185606
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.540077175468854,52.52209439478316
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.539992458416373,52.522083054107085
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.512877920427256,52.6295045372693
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.51257620958905,52.62944777637506
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.512457141142372,52.62977815285937
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.512438355601981,52.630679159943355
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.512293203023932,52.63089538438938
Spätblühende Trauben-Kirsche,Prunus serotina,Unbekannt,PRUNUS,13.434078799788033,52.53872071210034
