art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.423339782686387,52.504408743155516
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241511577717187,52.43933488415671
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241278231502479,52.439584762295134
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240801862693715,52.440096568229976
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241075462253079,52.43980175936258
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241022446355807,52.439860988045005
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.24096337882694,52.43992280340125
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240855305319961,52.44003945806696
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241458112165885,52.43926039028757
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240739267959501,52.44015860163497
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240594970309257,52.440314049811946
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241240629412179,52.43949549230614
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240408525338752,52.440513484854726
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240512750373343,52.44040005337322
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.561779695092536,52.56122839456397
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.562236991123797,52.56107068296477
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.56227245090135,52.56106329069595
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240667556994351,52.44023673147735
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.562396862755662,52.561044131656956
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241123573250665,52.43961364462876
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240987259824093,52.439764715469636
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.423393923115274,52.50383327490341
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.409060198566685,52.5777889091815
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.47589289421628,52.48839891961585
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.476012176925638,52.488491894231856
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.241039051068343,52.43971096500782
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.509643106479725,52.4938706027369
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.51448287595846,52.49776405577417
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.51256749278414,52.506253426245635
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.273654720308324,52.57376921888538
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.516944667733723,52.50625647754919
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.24019089508839,52.44061288502267
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240767468741305,52.439994147396156
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.240905331220175,52.43985117050579
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.509618781902539,52.493847302754354
Amur-Korkbaum,Phellodendron amurense,KORKBAUM,PHELLODENDRON,13.493546006782463,52.49579511059984
Japanischer Korkbaum,Phellodendron japonicum,KORKBAUM,PHELLODENDRON,13.418157404857205,52.5832107530278
Japanischer Korkbaum,Phellodendron japonicum,KORKBAUM,PHELLODENDRON,13.418049814675479,52.583182031614946
Japanischer Korkbaum,Phellodendron japonicum,KORKBAUM,PHELLODENDRON,13.418007731566858,52.58316483786418
