art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.229331973823228,52.52240445626346
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.568913730981361,52.49401996197608
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.625003800648862,52.529150533963275
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.624425265733692,52.52883979543437
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.474894706778418,52.52003604994157
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.457024021822514,52.421907754174136
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.458604538754118,52.42112445098509
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.448037146362346,52.438285973947615
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.612032074784953,52.528846815054514
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.61181194638718,52.5292404591616
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.611930324186392,52.52886626194266
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.611754828211948,52.529346565181264
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.610996157525621,52.528367967011484
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.610736756827285,52.528079730264125
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.61049710280712,52.527964114131805
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.43494075922633,52.45780683500845
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.360653952680314,52.56562027101122
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.3445203668425,52.56107625417366
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.61743180620751,52.52756722396185
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.569588589411767,52.49349177967831
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.625029157148095,52.529162847484244
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.444914018762939,52.53822488718664
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.232496074834918,52.52499916222789
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.229291568533192,52.523512088492446
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.44562625477215,52.43125346099695
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.447645381453547,52.431277192434166
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.466042190440138,52.42182154264165
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.41692031409905,52.426686790293154
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.322422756703457,52.470261494596976
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.361949313139112,52.47182902041158
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.555516588164684,52.5139467353686
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.588264227958762,52.50947220918062
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.44499444656308,52.538227796083596
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.445017385605079,52.5380586073619
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.44514788087663,52.53800013431255
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.445192501064032,52.53799447805682
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.445227692969988,52.537995251461574
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.58797715306337,52.49799898618991
Kreuzdorn,Rhamnus catharticus,KREUZDORN,RHAMNUS,13.54771318009304,52.531698375490514
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.231202203733408,52.543123504898645
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.231199973283703,52.54314827839148
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.348979774448418,52.55850553249663
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.352363277504704,52.55715190365178
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.34978617908166,52.45195727994595
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.342940296267273,52.56021784453907
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.231167247525962,52.543134258364944
"Kreuzdorn, Faulbaum",Rhamnus spec.,KREUZDORN,RHAMNUS,13.551149923738203,52.52012917298392
