art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Linde,Tilia spec.,LINDE,TILIA,13.231020971844234,52.52218642964158
Linde,Tilia spec.,LINDE,TILIA,13.4345622127709,52.49331678179516
Linde,Tilia spec.,LINDE,TILIA,13.434652498653325,52.49341407301513
Linde,Tilia spec.,LINDE,TILIA,13.434899619134315,52.49365579022429
Linde,Tilia spec.,LINDE,TILIA,13.434972859541634,52.49373530511557
Linde,Tilia spec.,LINDE,TILIA,13.435071695800367,52.49383366126694
Linde,Tilia spec.,LINDE,TILIA,13.445966002531947,52.495684103893815
Linde,Tilia spec.,LINDE,TILIA,13.434466753820558,52.49322783049236
Linde,Tilia spec.,LINDE,TILIA,13.446844529815538,52.49625862900541
Linde,Tilia spec.,LINDE,TILIA,13.435536853938741,52.49431390080561
Linde,Tilia spec.,LINDE,TILIA,13.435622054389704,52.49439969904939
Linde,Tilia spec.,LINDE,TILIA,13.435772040414388,52.49454619748821
Linde,Tilia spec.,LINDE,TILIA,13.435858941949153,52.49463721847733
Linde,Tilia spec.,LINDE,TILIA,13.43593561630618,52.49471673858309
Linde,Tilia spec.,LINDE,TILIA,13.436029336210128,52.494810907446194
Linde,Tilia spec.,LINDE,TILIA,13.435444847901625,52.49421869235452
Linde,Tilia spec.,LINDE,TILIA,13.436425378926993,52.49544668756599
Linde,Tilia spec.,LINDE,TILIA,13.434371374194326,52.49312425798404
Linde,Tilia spec.,LINDE,TILIA,13.434175410371331,52.49292545318391
Linde,Tilia spec.,LINDE,TILIA,13.434632775741473,52.49361880029702
Linde,Tilia spec.,LINDE,TILIA,13.43431073762624,52.49329130075668
Linde,Tilia spec.,LINDE,TILIA,13.434419765239552,52.49340847399426
Linde,Tilia spec.,LINDE,TILIA,13.434230660121418,52.49320655295528
Linde,Tilia spec.,LINDE,TILIA,13.434130137350827,52.493104014481844
Linde,Tilia spec.,LINDE,TILIA,13.434026181423688,52.49300251209905
Linde,Tilia spec.,LINDE,TILIA,13.43427425778158,52.49302381018135
Linde,Tilia spec.,LINDE,TILIA,13.433935885344555,52.492908347341526
Linde,Tilia spec.,LINDE,TILIA,13.433533774501857,52.4924981915972
Linde,Tilia spec.,LINDE,TILIA,13.433701727099585,52.49244518506366
Linde,Tilia spec.,LINDE,TILIA,13.433795453372879,52.49253936395907
Linde,Tilia spec.,LINDE,TILIA,13.433882340286793,52.4926282931583
Linde,Tilia spec.,LINDE,TILIA,13.433976066177198,52.492722462907516
Linde,Tilia spec.,LINDE,TILIA,13.434073200065308,52.49281873304848
Linde,Tilia spec.,LINDE,TILIA,13.433743323276579,52.492716862409
Linde,Tilia spec.,LINDE,TILIA,13.436231126774437,52.49524580416555
Linde,Tilia spec.,LINDE,TILIA,13.436128897022712,52.495141170672554
Linde,Tilia spec.,LINDE,TILIA,13.43546430825924,52.49446734678903
Linde,Tilia spec.,LINDE,TILIA,13.434418435744233,52.496234251404424
Linde,Tilia spec.,LINDE,TILIA,13.434524268022205,52.49631978666713
Linde,Tilia spec.,LINDE,TILIA,13.433142643203162,52.49488987531998
Linde,Tilia spec.,LINDE,TILIA,13.433222937984322,52.495005663872206
Linde,Tilia spec.,LINDE,TILIA,13.433332969496885,52.49508228367378
Linde,Tilia spec.,LINDE,TILIA,13.433436359578382,52.495186202214335
Linde,Tilia spec.,LINDE,TILIA,13.434326097085378,52.49614085751012
Linde,Tilia spec.,LINDE,TILIA,13.433569494815831,52.49531996924663
Linde,Tilia spec.,LINDE,TILIA,13.433770699235414,52.49552386132828
Linde,Tilia spec.,LINDE,TILIA,13.433814407715122,52.49560262718633
Linde,Tilia spec.,LINDE,TILIA,13.433892128357435,52.4956816652612
Linde,Tilia spec.,LINDE,TILIA,13.432269881117561,52.49410058358375
Linde,Tilia spec.,LINDE,TILIA,13.432353980848438,52.49415046200097
Linde,Tilia spec.,LINDE,TILIA,13.432451341202713,52.49424838721577
Linde,Tilia spec.,LINDE,TILIA,13.43363420179133,52.49544163625965
Linde,Tilia spec.,LINDE,TILIA,13.434235749833396,52.496049928273344
Linde,Tilia spec.,LINDE,TILIA,13.434170349214396,52.495961519374234
Linde,Tilia spec.,LINDE,TILIA,13.43409860554154,52.495889321884675
Linde,Tilia spec.,LINDE,TILIA,13.435878390055937,52.49488587265166
Linde,Tilia spec.,LINDE,TILIA,13.43577104906102,52.494774966523096
Linde,Tilia spec.,LINDE,TILIA,13.435583591545313,52.49458767193029
Linde,Tilia spec.,LINDE,TILIA,13.435534167969124,52.494539540131264
Linde,Tilia spec.,LINDE,TILIA,13.436174176803595,52.49495947270554
Linde,Tilia spec.,LINDE,TILIA,13.436342920735141,52.49512062202616
Linde,Tilia spec.,LINDE,TILIA,13.4364297747583,52.49522313612257
Linde,Tilia spec.,LINDE,TILIA,13.436506463704397,52.49529951994976
Linde,Tilia spec.,LINDE,TILIA,13.436591691152424,52.49538009490944
Linde,Tilia spec.,LINDE,TILIA,13.436697331545497,52.49548995460825
Linde,Tilia spec.,LINDE,TILIA,13.447485973506529,52.496773328985306
Linde,Tilia spec.,LINDE,TILIA,13.447841559471154,52.497022254583996
Linde,Tilia spec.,LINDE,TILIA,13.44795167943942,52.49710658956247
Linde,Tilia spec.,LINDE,TILIA,13.448062958771075,52.497191815371565
Linde,Tilia spec.,LINDE,TILIA,13.435545805011113,52.496099734479294
Linde,Tilia spec.,LINDE,TILIA,13.434729916520094,52.4937140171037
Linde,Tilia spec.,LINDE,TILIA,13.432525987455657,52.49434253544597
Linde,Tilia spec.,LINDE,TILIA,13.434816800105734,52.493808175636936
Linde,Tilia spec.,LINDE,TILIA,13.435380816657007,52.49438155125172
Linde,Tilia spec.,LINDE,TILIA,13.431799260919648,52.49694135156313
Linde,Tilia spec.,LINDE,TILIA,13.431886177179978,52.49702506951102
Linde,Tilia spec.,LINDE,TILIA,13.429611866340666,52.495012446728985
Linde,Tilia spec.,LINDE,TILIA,13.429025791981877,52.494411849094746
Linde,Tilia spec.,LINDE,TILIA,13.429381857142575,52.49477807100578
Linde,Tilia spec.,LINDE,TILIA,13.428800875121096,52.49418582957786
Linde,Tilia spec.,LINDE,TILIA,13.431736223245926,52.496875438610466
Linde,Tilia spec.,LINDE,TILIA,13.428717406948193,52.49409793554938
Linde,Tilia spec.,LINDE,TILIA,13.42911735515233,52.4942218733889
Linde,Tilia spec.,LINDE,TILIA,13.429296289458271,52.49439558582106
Linde,Tilia spec.,LINDE,TILIA,13.429384871173148,52.49448661417112
Linde,Tilia spec.,LINDE,TILIA,13.42948708022006,52.494595432375036
Linde,Tilia spec.,LINDE,TILIA,13.429589336633992,52.49469379899389
Linde,Tilia spec.,LINDE,TILIA,13.42965236330028,52.494760755066984
Linde,Tilia spec.,LINDE,TILIA,13.42890443750379,52.49399273704435
Linde,Tilia spec.,LINDE,TILIA,13.429757997845524,52.494867484913655
Linde,Tilia spec.,LINDE,TILIA,13.431657807051513,52.49680113448912
Linde,Tilia spec.,LINDE,TILIA,13.431484005930228,52.496624306523294
Linde,Tilia spec.,LINDE,TILIA,13.437676442942646,52.491477997450154
Linde,Tilia spec.,LINDE,TILIA,13.43759635760961,52.49139429388207
Linde,Tilia spec.,LINDE,TILIA,13.43750946549368,52.49130536825202
Linde,Tilia spec.,LINDE,TILIA,13.441614346115637,52.50045562498775
Linde,Tilia spec.,LINDE,TILIA,13.439216238995053,52.49802514613074
Linde,Tilia spec.,LINDE,TILIA,13.439299758740871,52.498107802225164
Linde,Tilia spec.,LINDE,TILIA,13.431541959465232,52.4966808113936
Linde,Tilia spec.,LINDE,TILIA,13.43978378800688,52.49860059093322
Linde,Tilia spec.,LINDE,TILIA,13.438659704021326,52.497680571452086
Linde,Tilia spec.,LINDE,TILIA,13.438433324300696,52.497440522674886
Linde,Tilia spec.,LINDE,TILIA,13.439329475577935,52.49836692266887
Linde,Tilia spec.,LINDE,TILIA,13.44037081075795,52.49940074495137
Linde,Tilia spec.,LINDE,TILIA,13.431325537056077,52.49646316780453
Linde,Tilia spec.,LINDE,TILIA,13.431429496213731,52.49656467163905
Linde,Tilia spec.,LINDE,TILIA,13.438928977561133,52.4979557366037
Linde,Tilia spec.,LINDE,TILIA,13.429836350941356,52.49495119057989
Linde,Tilia spec.,LINDE,TILIA,13.430078305914725,52.49519499371321
Linde,Tilia spec.,LINDE,TILIA,13.430221480851577,52.49532999381031
Linde,Tilia spec.,LINDE,TILIA,13.431222027486983,52.4966489470259
Linde,Tilia spec.,LINDE,TILIA,13.43171958268617,52.49715224265713
Linde,Tilia spec.,LINDE,TILIA,13.431613941515387,52.49704446351303
Linde,Tilia spec.,LINDE,TILIA,13.431353216288388,52.496786011125145
Linde,Tilia spec.,LINDE,TILIA,13.431302127310111,52.49672533901606
Linde,Tilia spec.,LINDE,TILIA,13.431095940758913,52.49652024829142
Linde,Tilia spec.,LINDE,TILIA,13.439124177591912,52.497939340101865
Linde,Tilia spec.,LINDE,TILIA,13.431034623177483,52.49645224486163
Linde,Tilia spec.,LINDE,TILIA,13.431935577252505,52.49707842272346
Linde,Tilia spec.,LINDE,TILIA,13.441238424338207,52.50029729527479
Linde,Tilia spec.,LINDE,TILIA,13.441158313048176,52.50021777305676
Linde,Tilia spec.,LINDE,TILIA,13.435165417518482,52.4939299159003
Linde,Tilia spec.,LINDE,TILIA,13.384721407357008,52.4991519474051
Linde,Tilia spec.,LINDE,TILIA,13.431787722196146,52.49722652109636
Linde,Tilia spec.,LINDE,TILIA,13.440933778486231,52.499970550885905
Linde,Tilia spec.,LINDE,TILIA,13.439054320564678,52.497864012035556
Linde,Tilia spec.,LINDE,TILIA,13.438967385607068,52.49778135025725
Linde,Tilia spec.,LINDE,TILIA,13.43888219304396,52.49768718936424
Linde,Tilia spec.,LINDE,TILIA,13.430679797529004,52.4958008416188
Linde,Tilia spec.,LINDE,TILIA,13.430766680857563,52.49589082406898
Linde,Tilia spec.,LINDE,TILIA,13.43083315112312,52.495955700568885
Linde,Tilia spec.,LINDE,TILIA,13.43095070714538,52.496078121291454
Linde,Tilia spec.,LINDE,TILIA,13.431029083765818,52.49615764739108
Linde,Tilia spec.,LINDE,TILIA,13.431083611578016,52.496213103660985
Linde,Tilia spec.,LINDE,TILIA,13.431139855044528,52.49626646885612
Linde,Tilia spec.,LINDE,TILIA,13.43095788438929,52.496388393943505
Linde,Tilia spec.,LINDE,TILIA,13.430910227142537,52.49632772760927
Linde,Tilia spec.,LINDE,TILIA,13.43085739873285,52.49627435904854
Linde,Tilia spec.,LINDE,TILIA,13.430605246171845,52.49601382481505
Linde,Tilia spec.,LINDE,TILIA,13.430531934142358,52.49594789537666
Linde,Tilia spec.,LINDE,TILIA,13.429962874229668,52.495366121864286
Linde,Tilia spec.,LINDE,TILIA,13.429780530019,52.49518614072554
