art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.232057653834026,52.52383487591708
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339600636298059,52.571709223714855
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339732967132992,52.57174562150205
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339777117497896,52.571794467847994
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340073927632767,52.57185379636926
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.34006461569963,52.57191944174405
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340165321128593,52.57203908444371
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340101441246642,52.57202986307174
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339530488768505,52.57181055998966
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339535207616533,52.571897862897835
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339561221527628,52.57189656261656
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33732597184157,52.56985613331073
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.337254643518687,52.569680760442466
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.337711884780116,52.56988603993107
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340121546186909,52.572185010670644
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338641568713388,52.57137954824085
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341842178595662,52.56712840317188
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342033729546364,52.566679856607394
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.3395591637336,52.57170277716887
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342179744856113,52.56679159438323
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33955798993746,52.57156394402852
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338247254108946,52.569469931916295
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33820436420791,52.56907278853194
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.337574908855164,52.56947125546972
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.337559550867546,52.56953604974785
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339988138790071,52.57043854947994
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338101966589244,52.56930849959811
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338150550889472,52.569142327116055
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338104678497292,52.56914846601902
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33806217073142,52.56915397331324
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338055069690752,52.56919456991331
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33806325245937,52.56921367662997
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.33809396323166,52.569284647218204
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.3381123236647,52.569328992687986
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338126156222199,52.56937530927127
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338136564597674,52.569394446326115
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338152571438943,52.56944215018084
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338167277049461,52.56946541781458
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.3381990548374,52.56947875080114
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340029292756824,52.571791200498645
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342169042574602,52.566817384643564
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342157575357659,52.5668494111862
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342104234955961,52.566836666491625
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.35367719861874,52.51025304550982
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.35367165736202,52.51014148371027
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.353535033622098,52.51028459162255
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.353551747664284,52.51030705659148
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.353356840981553,52.51018094264716
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.223607754275053,52.546492995926556
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.230122290910417,52.544857996545026
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.225178843641801,52.61422191990023
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.230516957388513,52.61333468307269
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.400497356097269,52.53181543628217
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.432707264021396,52.539851667141534
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.432768282942021,52.53990262788801
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.443749922798013,52.517782450527655
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.131272870625809,52.445470737516224
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.13136857569096,52.445456101371754
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.131393518679717,52.445482984540185
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.27541142009965,52.58416852540241
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.354504305436382,52.51051622314412
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.354493085007928,52.51021467255807
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341976455711784,52.57029080077656
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341920929613813,52.57036709541232
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.3420640967637,52.566840450640555
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341988270725366,52.566907824195205
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341767480028519,52.56690006257993
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342006040912464,52.57047499340766
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341942681730472,52.57044278925492
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.34174147669163,52.57037285635688
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342040147953247,52.57041078935154
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.34174796618654,52.57032339209817
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338264515316109,52.56913219263654
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.34180137834774,52.57032397930912
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341835001628123,52.57028519616741
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341821967404384,52.57029106099222
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342039083085998,52.570332072044174
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.342022940401014,52.57029152643124
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341515159641444,52.5696007681946
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341508287586809,52.56963674767947
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341560939888215,52.56966812595668
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341605416850308,52.56997381233166
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.341905476851082,52.57030439287218
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.275387834189734,52.58415913946877
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340926311736458,52.56848979418888
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.338893310991699,52.56929620142958
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340642421345004,52.568918079807766
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340696090208384,52.56905288261368
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340697627750604,52.5690845428374
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340713355744946,52.569174685664144
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340734165845165,52.569419765480944
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339695992166787,52.56889952507971
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340270809811937,52.56826735380234
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340515900585114,52.56825413738771
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340545192390836,52.56827453065183
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340615784412055,52.56864182266125
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340540271739195,52.56883226495856
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340327037516607,52.56796185408701
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340245827615831,52.567998925776315
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.340066520269335,52.56822628909989
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339980423522416,52.56808291321725
Europäische Lärche,Larix decidua,LÄRCHE,LARIX,13.339940343111756,52.56823597531952
