art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Gurken-Magnolie,Magnolia acuminata,MAGNOLIE,MAGNOLIA,13.420657312383302,52.551988842711786
Gurken-Magnolie,Magnolia acuminata,MAGNOLIE,MAGNOLIA,13.438480114889172,52.542617576448905
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.466283587311969,52.470873289899856
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.507881661447513,52.565689607783284
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.508148810377413,52.56558459037307
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.508185043306797,52.5658750956238
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.50862530251939,52.56564710890866
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509548287684899,52.536571740495546
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509580304743151,52.53639815579473
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509614453433183,52.53622592588479
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509662839321285,52.53589051191096
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509719073204401,52.53570926254799
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.50974179569879,52.535552826924885
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509397275342398,52.53620725259185
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509375990228401,52.53632120613677
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509342380183213,52.53647750455048
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.509332000360542,52.5366553464939
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.52963813751421,52.480984266012804
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.529944238782656,52.48121647830557
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.530338307114718,52.48144353668641
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.520472595224284,52.50333232419508
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.256323172857515,52.51148699028696
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.505837504201041,52.517799424596646
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.506265754402337,52.51768656787
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.50507796969935,52.518000033846455
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.504211474672445,52.518085267422215
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.504025139749658,52.51808994460917
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.503883358809777,52.51809286246135
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.507949685731864,52.56563139861171
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.513480900151949,52.48438336642654
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.513357277648032,52.484102183915844
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.5133104921503,52.48398741028122
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.539084732041594,52.488675339680455
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.539049554010388,52.488311535470345
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.539108099117106,52.48879338198615
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.5390463464365,52.488408322241504
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.53899628331504,52.48812414246254
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538978388514522,52.487980412187035
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538986170092226,52.487916533984574
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538967815704481,52.487786629725825
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538953349386523,52.487710374015
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538922940970075,52.48746503332461
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538935510703453,52.48756491455344
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.53889698139045,52.48730770707481
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538850531448515,52.486945546401216
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.53883323354121,52.486850177758335
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.538816499402534,52.48670842898332
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.539540614503423,52.49101364733284
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.482316340369296,52.42897049998846
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.48205977180541,52.4295319485096
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.482763709864761,52.42879781509469
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.51335016088079,52.412312840655986
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.482283738002852,52.42878404916726
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.515723714168667,52.41326012228512
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.491386738216235,52.50658013794945
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.513145035359258,52.48365477853743
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.513266238941691,52.48391310905515
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.503566346314775,52.5181018179779
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.503426116701089,52.51810041586416
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.503256337981693,52.51810507735585
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.503103613475995,52.51810448514106
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.431995753921404,52.46046125370591
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.454133981603595,52.44057439389126
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.45472384773814,52.441107697123755
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.256171989346383,52.51179710199378
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.255982495527489,52.51202833500449
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.484299555847386,52.51818377689627
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.466331519993476,52.47083299130208
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.48368858959371,52.51662305879161
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.483738905208522,52.51681466029751
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.404990427735447,52.540210816458085
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.405146499905975,52.54015458406483
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.259191282142615,52.50405799506695
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.404827307288668,52.53087825786496
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589573648339522,52.43591099348776
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589699577808538,52.435728990374564
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589738825168627,52.43567227040076
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589816863950574,52.43554333620147
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589884287903724,52.435446212250746
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.58993051306144,52.43537918634089
Kobushi-Magnolie,Magnolia kobus,MAGNOLIE,MAGNOLIA,13.589972172121723,52.43532141433274
