art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Küsten-Mammutbaum,Sequoia sempervirens,RIESENMAMMUTBAUM,SEQUOIA,13.480557881179005,52.55611773799964
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.5328326813592,52.518456242835434
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.359011954912557,52.46876057389048
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.346211924509335,52.51641322034344
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.346147360886228,52.516450843154104
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.337722032974398,52.56840397895312
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.492696290664512,52.5192718266321
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.381297972271131,52.54452104352199
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.381141928580465,52.54458862144813
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.43974790465724,52.447078303663396
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.436559213172007,52.525815228623834
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.491499126988492,52.51841519539924
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.199789545526468,52.56776393122187
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.353751176369851,52.55247976010411
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.468961492847031,52.55186952948009
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.427170833030257,52.5818488825746
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.197708832421855,52.53609070016687
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.515657320597025,52.48042292200708
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.402342588223986,52.55113532419197
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.394189685585571,52.59324816910183
Mammutbaum,Sequoiadendron giganteum,Unbekannt,SEQUOIADENDRON,13.505531387079673,52.49972176738862
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.391967687056857,52.441812101444775
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.315868057578623,52.46571232636776
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.477305896725873,52.519083241406705
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.504695417477217,52.50054171617975
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.40996894533249,52.3900975669579
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.516297266941327,52.48013263999551
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.516268909532666,52.48014567729805
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.195651750363755,52.513722060223884
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.195551208504684,52.513717704496635
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.516169308313387,52.48002388651142
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.516111008557937,52.4800377664541
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.345930934354701,52.51275726724167
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.39192726204177,52.44192199943873
Urweltmammutbaum,Metasequoia glyptostroboides,URWELT-MAMMUTBAUM,METASEQUOIA,13.342593999685697,52.43795187465941
