art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Breitblättrige Mehlbeere,Sorbus latifolia,MEHLBEERE,SORBUS,13.284747014029463,52.53126755085864
Breitblättrige Mehlbeere,Sorbus latifolia,MEHLBEERE,SORBUS,13.193824801459249,52.51633046516578
Breitblättrige Mehlbeere,Sorbus latifolia,MEHLBEERE,SORBUS,13.284525445407784,52.531297939193735
Breitblättrige Mehlbeere,Sorbus latifolia,MEHLBEERE,SORBUS,13.194283432700098,52.516082270191966
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.317776033799527,52.42150653226489
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.292065065998282,52.47226750223111
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.291160120443628,52.47207091721851
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.29197910171359,52.472307204326206
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.291484600457906,52.47200051085573
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.29170186652867,52.4719888145226
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.320387015439175,52.42359201830089
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.319566300037955,52.422985118528665
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.319488202427298,52.422926721213955
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.31768098148451,52.42141653527835
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.319348903499954,52.42282326155963
Breitblättrige Mehlbeere 'Henk Vink',Sorbus latifolia 'Henk Vink',MEHLBEERE,SORBUS,13.319420435603798,52.422878291903295
