art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.362175940828651,52.47213012839563
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.503623449842621,52.51702133953067
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.503440802378755,52.517037857645775
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.504205304455608,52.51696495827505
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.503255179830555,52.51705470198205
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.50291775347065,52.51708979676785
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.502741414479802,52.51710580650878
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.490997879778652,52.51881433584276
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.208684843666498,52.529650095593695
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.50382171470114,52.51699937138103
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.445296011224977,52.54148932858942
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.504778303545029,52.449525718279304
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.5048607018327,52.449596121587554
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.4229597299657,52.614521824417025
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.425194952788047,52.60795589784034
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.419777854807275,52.60803534326538
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.42017645861732,52.60808261553049
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.410013898188621,52.577331725467786
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.335708871513823,52.5340241901289
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.472793941078635,52.491099486866666
Mispel,Mespilus germanica,Unbekannt,Unbekannt,13.504018309082863,52.51698114719499
