art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.253554108423408,52.51226848942682
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.561910175211358,52.54686510720787
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.561959992508939,52.54680940002281
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.56702318780401,52.567636136378354
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.566984121551899,52.56759193935554
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.563969683845244,52.56435017384747
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.563854803978154,52.56439347280312
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.558845838645755,52.54740566906313
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.558763701238583,52.54746282994933
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.575097195706622,52.55761487552971
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.555563163958714,52.53883573504921
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.575131527737438,52.557734913529025
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.297435656618376,52.52435814517778
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.297432073453763,52.52440772315592
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.297358129464325,52.52456867314003
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.575163902821389,52.5578008526314
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.575197410952583,52.557868839985204
Kanadische Holz-Pappel,Populus x canadensis 'Robusta',PAPPEL,POPULUS,13.297110475286022,52.52578675669059
