art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.23211267872303,52.525343734323044
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.442880001561536,52.42437456554835
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.283870797958206,52.457923110297436
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.26580345598523,52.57722621171437
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.261832618848592,52.574832646174706
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.47602787716645,52.51185172780268
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.207401583691704,52.53454493372089
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.207427024875054,52.53458143617922
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.207137956747394,52.53443835666045
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.44784724140927,52.43828771602553
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.447128690083886,52.44043118964924
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.342906436059929,52.58929089770902
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.443003522573616,52.42438688913681
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.31624297511878,52.588732839999075
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.324724077234226,52.58802739726281
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.612129911037185,52.52422972379974
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.319246616351778,52.616231656920725
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.319230104524026,52.6161933608732
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.644104488128004,52.52424340571721
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.548096603171194,52.496997474033215
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.54776403990927,52.49699764504193
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.643264676666673,52.525452154717186
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.631616874764596,52.515415038013586
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.656557907865098,52.52663715082093
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.641520121806138,52.52125032859475
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.438901326435738,52.45818419300452
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.591483812426953,52.508856840529205
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.512705814895028,52.482326864589
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.609007474421201,52.527642285143
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.439201015963514,52.45915787062894
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.440062162766726,52.45897892046611
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.251184680529724,52.50709580631111
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.301773711640676,52.48455115165146
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.322254179896127,52.484087546792566
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.188594789584696,52.54130968479235
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.469368220746174,52.510890620225595
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.457669151283763,52.564148212693695
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.396213055795165,52.569103102260804
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.391504666375898,52.56990004298213
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.396236467402755,52.56882888089564
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.48341783035813,52.54832459023492
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.392508505733911,52.568417534399515
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.446000019124712,52.53541264842597
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.389418658551298,52.57203897227884
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.388935445132152,52.57227220751576
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.514016679840527,52.6319616244856
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.613262460665036,52.501119489879876
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.611874445321305,52.499210080723074
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.611880443062892,52.49919524512053
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.61192008089485,52.49920128630448
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.61202430370476,52.49927829489464
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.567994914044002,52.474824933765
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.612156216492652,52.49915039890754
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.39621266033293,52.56881274859529
Pfaffenhütchen,Euonymus europaeus,PFAFFENHÜTCHEN,EUONYMUS,13.591465187565591,52.50885267452062
