art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.479947250626322,52.53649102516337
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376602274796126,52.48435830809487
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376582300215958,52.484630550200905
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.432664986946536,52.53992018786524
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.358611791036942,52.49137059365998
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.565368502828228,52.55341665171076
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.484796867397154,52.57219532581634
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.484997149175815,52.57222510974348
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.409411292671784,52.5197267461725
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.409428219785527,52.5197354226032
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.515040269957488,52.56320405956255
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.519813580506064,52.47589312131171
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.550393984388153,52.56617390224074
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.519795145319817,52.475903919878625
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.519768699061718,52.47591382608436
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.549717976899743,52.567445180389974
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.549409150755778,52.56789682868905
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.549700891609865,52.56749948524776
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.59899630068454,52.53329654875772
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.599311131870849,52.5333726622166
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.600062926888855,52.52907458424975
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.599777316205769,52.53355357900049
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.599700534725118,52.533510107953035
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.599301756192565,52.53373985484593
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.599774671805143,52.533545728383544
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.600801713042232,52.52894411586411
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.623794660555154,52.51025110005149
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.60087223425038,52.52899008812845
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376638621235323,52.484147550935944
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376643640305904,52.48411907382547
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.512365520711136,52.55936511556804
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.49455712882525,52.583767015926334
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.485806395612814,52.57045382905869
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.497521162661734,52.5691817257175
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376950382573618,52.4832395747201
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.466520968000694,52.52668565767572
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.376796280396745,52.483600959648854
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.512964197554718,52.5408592972891
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.436122460343022,52.52708258055896
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.47409260569597,52.54319140199482
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.61798753817545,52.53246280650851
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618046173019321,52.53245070084076
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618185025141555,52.53242146469337
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618215149413192,52.53247924167531
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618079020075909,52.53250829387115
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618021287438763,52.53251964856784
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.617799037777555,52.532678057201295
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.617832186637436,52.532656691941725
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.617813268559223,52.532733061109894
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.52866768834837,52.485081451156844
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.528761525814472,52.485072893605036
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.61743460606511,52.53288979512239
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.51691252260971,52.48014189478554
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.617652216316836,52.53304540211872
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.524331839728399,52.58089109059493
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.623608766020272,52.510294494477286
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.51230833525205,52.55936439781702
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.600843516633631,52.528994265618365
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.618979344012882,52.53383484845153
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.348936206209274,52.49127735096365
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.621651219516341,52.527851020263206
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.421702068063038,52.50375907285781
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.62160576609696,52.52767359281371
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.621747179947075,52.527911437723375
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.622209273506325,52.527801028192656
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.388756896181368,52.50531413665401
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.389031022265305,52.50532849070509
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.62176127738783,52.527951931138006
Blut-Pflaume,Prunus cerasifera,Unbekannt,PRUNUS,13.436047923802498,52.52707605435508
