art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.414096271715804,52.48215149982936
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.395046181866471,52.51098680369048
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.394716914983547,52.51096719677819
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.398655614830036,52.51120988693294
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.397539582396071,52.511141509590644
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.401163206632257,52.51151209374355
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.400720530716518,52.51136388842873
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.400830253701258,52.51138005748265
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.399223423474686,52.51124621678576
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.398121442255583,52.511174590560806
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.40014715268944,52.51131593603448
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.399455425306673,52.51126268553685
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.394928283670106,52.510979842109684
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.397657112608202,52.51114844110261
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.39705161357709,52.51111251649269
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.399342403766077,52.5112549464727
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.393020487840545,52.51086219412561
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.40114794681964,52.51143711682039
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.400920901817575,52.5114362891417
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.392443394850105,52.510831550705994
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.400292710778983,52.511326405159025
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.398008007035141,52.51117041767506
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.392906463299255,52.51085821243373
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.399591616013982,52.51127280493302
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.392797126408658,52.51085047489191
Ahornblättrige Platane,Platanus acerifolia,PLATANE,PLATANUS,13.392213500727843,52.51081584487237
