art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.460621893451837,52.425465842871425
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.513687496145113,52.43674365927511
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.513690144336268,52.43670431170484
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.513801265339449,52.43668970436782
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.521253604598416,52.57079381686263
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.521270034244166,52.57050280796954
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.521172453100608,52.570443616026026
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.521990597883,52.570751674801194
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.521328453910389,52.570739474995406
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.515799139325377,52.48023840890922
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.472189778440512,52.521321071083854
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.472232542959182,52.52132025747719
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146836688191636,52.52563879022442
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146798903635807,52.52564127350314
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146754643130691,52.52565138702274
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146774581019663,52.525714282836404
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.14683435892858,52.52570143529355
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.14688088399573,52.52569614961071
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.336589187099054,52.5343023715242
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.272896944469277,52.57315035407703
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.401579623577378,52.53122258405436
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.54236951612763,52.53224762626946
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.444743060037608,52.495676813791526
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.444763112022178,52.49569727040512
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.513569604546877,52.436758361213116
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.341090466881958,52.57013486260514
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.131127888598115,52.44374781932525
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.436861386930364,52.44617815562658
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.436753864306603,52.44608501658578
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146787033111242,52.52577843798284
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.14684732010422,52.52576519559282
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.146899573930684,52.52575140027507
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.387510140187887,52.50446472681369
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.228108763674097,52.58617776035997
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.51357660505389,52.436716460950095
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.513473500204071,52.43665024928114
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.362022585908505,52.47201633783646
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.336841179067147,52.534312747352054
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.428999133762183,52.50057122752308
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.38355400384798,52.48882636285423
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.426140492311177,52.581419549245986
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541361236293268,52.532450485279625
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541360212885555,52.53246454971537
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541324541111589,52.53255860170061
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541285962193538,52.53262715202331
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541313096640867,52.53262659546767
Quitte,Cydonia oblonga,QUITTE,CYDONIA,13.541292594463455,52.53261253994465
