art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.340306225149867,52.460426102020335
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346470627959606,52.460142987379704
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.331573140704045,52.463855436814704
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.33143569988351,52.46389118360525
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346590212515812,52.460030937571375
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.34671876504632,52.45991978985697
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346859931618509,52.45989354165302
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346847332955802,52.459810925089016
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346981123217283,52.459782987579054
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346343043423955,52.460252151414444
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346975525989178,52.45970045900239
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.32640610699093,52.46432951538095
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306496600337402,52.4625086705792
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.305796344604383,52.4596574417993
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.305957102865781,52.45999126431177
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.30608202348568,52.460234269507346
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306161926379307,52.46042241425989
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306190466158633,52.460538068532664
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306439898226044,52.4620908269158
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.34710620013904,52.45967211814764
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346344666366786,52.46033245037184
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.346218602384265,52.46036194280225
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345961704542379,52.460583267067854
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31069957363285,52.45477144000778
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310564385528334,52.4547078753904
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310161534823148,52.45432767000415
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31026260136685,52.454131716359306
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.33930987154084,52.46449738624469
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.337329495481795,52.464344432095686
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.334100369424467,52.46403519313261
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.339150762137178,52.46458277762097
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.337254419179894,52.464437699876555
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.336963260391439,52.46441425058525
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.33604283604818,52.464344108212664
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345193012230126,52.4612398540008
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345329754845244,52.461130506433385
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345451519215331,52.46110203013384
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345575810153514,52.460993327178706
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345704454121027,52.46088023883096
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345707675924642,52.46080168539621
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345834454443477,52.46077119828017
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.345961515244337,52.460661630050595
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306464019058508,52.4622905121479
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306479623856035,52.462400776033256
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306509863388104,52.4626131402229
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306639462415072,52.46363852389532
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.343882778798045,52.46061382004898
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.331992019076054,52.46016446757222
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.332166417690436,52.4601467401429
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.332377896110552,52.46012566191318
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.334985069201279,52.46007114655856
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.335154799287249,52.46008063288224
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.58305681133624,52.524843107229174
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.336007063411385,52.46012360168617
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.338419474230617,52.46025359410407
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.338984039885302,52.46028469626943
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.340439453432065,52.460356481590665
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.341462743879225,52.4604105728413
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.341670622529048,52.460420249425404
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.341891865977034,52.46043119736974
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.342494843034704,52.4604654584159
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.342853956395608,52.460480878629326
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.343017951791909,52.460487976030066
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.343492634655384,52.46051383569629
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.232886190377837,52.42820366121547
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.343420223321989,52.460586831705626
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310838884037787,52.45483455714346
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.341530612790486,52.460489881327504
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.332441830545068,52.46019693242603
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.305912388530963,52.4596680460278
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.30612625552111,52.46010153027758
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306289096369126,52.46049160538032
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306310193567791,52.460603097070134
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306571297170661,52.46225320251272
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306580444606263,52.46233274069981
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306594688578146,52.46243597279881
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.30661461053722,52.46254729021528
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.30669039937109,52.46305417143609
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306755309765263,52.46362894353674
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306756542506342,52.46392972051903
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.306754636964818,52.46401189759586
Borstige Robinie,Robinia hispida,ROBINIE,ROBINIA,13.342779639565096,52.49726687617495
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.330395263548835,52.4602560780902
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.330540544278593,52.460267198537125
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.33124882228422,52.460290250309484
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.331813322782407,52.460259738343865
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.33195915614606,52.46024557969893
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.332125628027642,52.46022938681725
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.334853836095004,52.46014272569231
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310970730547062,52.45488216097371
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.305721749743332,52.45937287496674
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.311540677674435,52.45514447333565
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31180479608409,52.453518458938916
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.312277019148718,52.45330690244945
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.312429244147431,52.45323958416102
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.312627540694315,52.45310398077835
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.311642765959393,52.45528684200388
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31055037058322,52.45478744206817
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310207729643702,52.454616336539246
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.311448401822707,52.45519753671906
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.326403307238886,52.46122559813155
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.311062473341936,52.45492613485763
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31045422379037,52.45393941130139
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31061108594771,52.45387446245077
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310903572349744,52.45375781330911
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.31167057496795,52.45520156129783
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.310544913450594,52.453986303511996
Borstige Robinie,Robinia hispida 'Macrophylla',ROBINIE,ROBINIA,13.311010685786005,52.454997089739386
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.583443637458824,52.52479066775551
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.58021670653707,52.51401542360691
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.58473777005205,52.54404692680968
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.183637628541101,52.54268785747129
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.58133364636628,52.514526203725005
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.184573563646165,52.54713320362315
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.183922820749272,52.544083819340756
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.59010239848146,52.54292859833771
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318244427743284,52.524702680648325
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.31867625411536,52.5247469512496
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318155403682413,52.524494771602754
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318316739710845,52.52443276878414
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.18348881990484,52.542016448966805
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318303871882755,52.52470208687901
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318336956378344,52.524715837000514
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318180237468683,52.52472513906379
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.183711296652488,52.543080150998975
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318436571474047,52.524707874850826
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318488148658831,52.52470947093116
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318376634119037,52.524443647803245
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.31810457025364,52.524528889836496
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318434455296822,52.52476701828392
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.31842568439421,52.52445381074242
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.318069818314028,52.52458992508174
Gold -Robinie 'Frisia',Robinia pseudoacacia 'Frisia',ROBINIE,ROBINIA,13.31834964337592,52.52479534898084
