art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.431175939536963,52.460187741833074
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.182474967573707,52.418726620716846
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.470471491376728,52.59209915598582
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.47043652560271,52.59205155341741
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.60126000848337,52.48668776168643
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.5826247615716,52.52712325398445
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.560944404876466,52.539156032135985
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.411970476250481,52.48284377999409
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.559040749736619,52.55657004197709
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.568856933932038,52.5447295122525
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.569112789761068,52.54473053584477
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.569172090458068,52.544735024371164
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.501605807522525,52.51121312231486
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.501633684332294,52.51123845763887
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.639627058040862,52.52586109914835
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.568693731121769,52.54472437406816
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.655813056235091,52.5278998094191
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.413204759081296,52.481663539294054
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.414859782600354,52.48514780169106
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.431184787395289,52.46015602614709
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.281573246996373,52.43911851274865
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.353150987112189,52.60166599796779
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.424453841532078,52.55881032639394
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.575601387885849,52.573334211654895
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.575863867210325,52.573184291754075
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.475932361599321,52.52875757577243
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.617160875074648,52.53261768797179
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.535573051847821,52.475972979496035
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.504207800778351,52.5272170485294
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.468824525567813,52.52618831068317
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.32282076011306,52.44778470126123
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.468980971431053,52.526095894411625
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.469067852691607,52.52609787435002
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.5355365475151,52.47590489826182
Sanddorn,Hippophae rhamnoides,SANDDORN,HIPPOPHAE,13.626957617861375,52.51075261548001
