art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.419913189294023,52.470443968944636
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.35226616464765,52.457264466860224
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.400480421515693,52.43955140214245
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.405666399732796,52.439156492884266
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.405619685543636,52.43917648604853
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.404823850078646,52.43914781739532
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.38397585448138,52.50112812610723
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.3901998768657,52.53252852539411
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.384228124723439,52.50093356040916
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.384216892225535,52.50089065335595
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.415786125210717,52.49165696960525
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.415452688174092,52.49162475735877
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.351832960331793,52.411376071185536
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.357462009978295,52.54834860555526
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.357068921566515,52.52277718825194
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.35701331017768,52.52278639895649
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.323448443091554,52.59116084246525
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.323287244615246,52.59019582332664
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.32649325756214,52.59675422974052
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.326521907691435,52.5967712869595
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.327648326921775,52.595916528418584
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.330658018130595,52.585541895656796
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.391608232129661,52.40911031314466
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.348059638926973,52.49119822897806
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.347612678291311,52.49120552365218
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.346897568012517,52.49121249806165
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.359933943066435,52.49927492785364
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.367832610571426,52.46383388975988
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.354999320197647,52.406011444991584
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.408687140072141,52.438148453246136
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.249389700216515,52.51744800221696
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.387042803083443,52.5014295615008
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.372025745978819,52.56965558554338
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.34370313538063,52.57446634885288
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.343617368287386,52.57446276988253
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.34370169702119,52.57440090889278
Scharlach-Dorn,Crataegus coccinea,WEIßDORN,CRATAEGUS,13.343615930055694,52.574397329922405
