art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.295439537695495,52.59526815445709
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.559501232660631,52.52769881499829
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.559442076665581,52.527702796265984
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.612816639148418,52.542628730771916
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.582548667306511,52.541599844312046
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.339221713413272,52.57768141718589
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.339236680418232,52.57765736296764
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584024936725555,52.54269568523853
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584021599225306,52.543087279089924
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.583642357394426,52.54264980207749
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584014695578515,52.54319598565532
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584022369186629,52.542837871625686
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.58397625625139,52.54264836128195
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.583397009520267,52.54264509651673
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584108480624177,52.54321762737005
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584116764427058,52.543309762983945
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584118390333648,52.54294044505596
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584098652523432,52.54270984025966
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584050429902685,52.54259994466646
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.583995894578374,52.54259080490209
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.559477044701914,52.52770151184571
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.584113711291312,52.54284682411502
"Schlehe, Schwarzdorn",Prunus Spinosa,Unbekannt,PRUNUS,13.550115066404384,52.50176040512795
