art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.441877858113648,52.47789684914505
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.384725888848628,52.56856971554698
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.38438460853862,52.567971337458445
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.384441969822381,52.56820596499556
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.28349785276016,52.512837934293884
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.282631974686083,52.51292577061478
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.444321913027753,52.45684830059832
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.204995689966784,52.53671944255867
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.20573950557955,52.53717774464094
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.168595368615536,52.52389873643556
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.163244703898927,52.52155696573636
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.383216965612679,52.43424120416203
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.383053393010673,52.43351562534841
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.383030373602551,52.433421325411274
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.382984436177136,52.43325174241608
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.382950210799208,52.43313373132605
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.384778663567216,52.56878306329952
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.382840065238907,52.43270875855083
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.384543057213094,52.56781979018155
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.384321990167644,52.567722427826496
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.368456450494778,52.565551148326854
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.368216659419842,52.565536210613146
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.377292751528321,52.572914294731795
Japanischer Schnurbaum,Sophora japonica,Unbekannt,SOPHORA,13.29225419420711,52.59042278898455
