art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.445969711146562,52.48307488521826
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331311869086857,52.45981017102036
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331247458217543,52.459601789434096
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331242688299046,52.45917370882771
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331315488624885,52.45867371214534
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.33132805523634,52.45860066395058
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331364445247843,52.45831140340594
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.33134606580297,52.46010375964217
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331301789694399,52.46003466755892
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331112334308557,52.45957463614965
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.282426411172521,52.46343981680965
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283383730754208,52.46375120038476
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283666545640408,52.4638994921279
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.285702266997651,52.46475847980012
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283545197240796,52.46395144218221
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286537399855723,52.4637065095142
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331380421863338,52.459945042937605
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331479559871696,52.46009978897866
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.331536143964442,52.460169953762446
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.302525085532011,52.46911304639859
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.281498022049215,52.47239957983963
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.28174648413107,52.472492561227
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.281839639048618,52.47252992010128
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.281894564079316,52.472476826094436
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.280771457082052,52.47210262413006
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.279299856283425,52.4720773813914
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.280028405092871,52.47212041643939
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286332037780483,52.46399184653671
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.27882474975455,52.472088350991726
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.282985679735761,52.49334434939495
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283183530360674,52.4931986946017
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283239212157198,52.493051440285974
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.28347152100864,52.49298434616992
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283661589153771,52.49283748162656
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.283275613577397,52.4931300071604
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.284337470820022,52.49233417647135
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.278943123493038,52.47208679357775
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286262225738103,52.46405823625432
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286637532067669,52.46354707746326
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286594002271162,52.463620552942075
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.563063741169964,52.547730708101966
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.563101147062858,52.547776549818984
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.563188136711151,52.54788724744517
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.563232139613296,52.54792862611825
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.570896172401078,52.55263246590752
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.570737073406852,52.55265119067873
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.570395961965358,52.552690056729226
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.572639804347762,52.49677808581394
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.570291788118189,52.5527019503636
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.519362505388983,52.57412593775179
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.520491061661069,52.57375198601464
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.60505632839152,52.50708661762243
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.33117814674311,52.45867052522529
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.598126878304178,52.488403771148434
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.467404423369521,52.491386729948864
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.424788824345814,52.51099771927217
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.570140992604006,52.552718233813586
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.280655793199164,52.47215458740299
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.598476864143338,52.488313881198664
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.446301078522772,52.575678500621784
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.285837870532918,52.464499067049005
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286830717558054,52.463413192487465
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286782137241502,52.46349111119191
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286736533462626,52.463568570384936
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286697235686306,52.46364664151269
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.286651674404046,52.46371651624411
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.28647109583324,52.46397076824874
Schwarznuss,Juglans nigra,WALNUSS,JUGLANS,13.444621518372585,52.576175584601486
