art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Großblättrige Stechpalme,Ilex x altaclerensis 'Belgica',STECHPALME,ILEX,13.453995071742545,52.55671940098965
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.33993656494048,52.56782980013834
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.340482507222966,52.569548917358006
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.340430220277272,52.56956107397608
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.340641027746257,52.56797642731124
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.339651287465617,52.56980879256857
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.336920480056293,52.568514469259355
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.336956353183831,52.569089172861844
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.337606779274976,52.56842897502325
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.339992132435123,52.57043177586437
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.339370763544938,52.56957929798128
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.338251143257137,52.56997898722409
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.365610607556464,52.546108210651866
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.338725683092497,52.571060111624284
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.19704728845319,52.53637340746656
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.345220000826947,52.51297976820677
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.345595629177549,52.51295217007917
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.35090245995073,52.412174422339696
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.572328818125337,52.44299939107658
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.558583685370884,52.51190051355574
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.5575620441494,52.51241216649421
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.557468983295502,52.51250015981372
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.333379047248217,52.47559702822206
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.39075560936336,52.57360793321362
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.389561804904462,52.57317281005357
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.341161698785928,52.571847209430395
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.180465492625844,52.55558948308817
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.180400479867671,52.55474858951668
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.438071232162278,52.44660850050504
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.328383791197892,52.59530932534283
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.328657861732285,52.59543689647519
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.329894601369864,52.59611662733191
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.329926253833293,52.596106130756006
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.332093622386605,52.59624527550564
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.33209321142798,52.596230401232134
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.326751500579697,52.59441607421405
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.326708717445893,52.59448802562166
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.326680956405308,52.59449893327362
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.35899145759406,52.5648262989497
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.35887151533988,52.565092353814336
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.358881427833502,52.56508728541422
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.35889631009082,52.56509018904557
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.358891783008884,52.56509288653937
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.358837014375105,52.565217759246806
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.3588617627068,52.56520419318606
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.358853144985412,52.56522477111908
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.358820364933568,52.56525428384946
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.359600826711551,52.56533374807271
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.359616056912452,52.56534077433601
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.35975420225563,52.56533926294438
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.359778691228072,52.565329873938836
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.36129559374283,52.56553277977598
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.323849701319514,52.588079305127174
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.323902210906672,52.58800832494883
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.390878608480362,52.572504943209616
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.34770124986728,52.5315430910969
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.252367775403757,52.5154681772956
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.334283415274516,52.47569313266945
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.252280644497114,52.51540227287075
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.282545729870932,52.485226144149046
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.249746628707122,52.508541997825084
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.249726009406583,52.5089737131047
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.249699524219286,52.50916165497819
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.249690984252538,52.509218179887675
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.287933150667774,52.50876451393761
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.287877446181897,52.50871109933529
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.287270119512982,52.50843259051171
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.421681291298052,52.48283482398944
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.421547319087281,52.48280010374541
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.249463015230088,52.51302114750851
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.421615954669015,52.48281155806576
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.251008427739638,52.513434872118935
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.252527824472274,52.51548366392645
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.25284804856692,52.51413067804881
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.251967117936273,52.513816498044044
"Stechpalme, Gemeine Hülse",Ilex aquifolium,STECHPALME,ILEX,13.248387109550482,52.513489086017366
