art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.171864457155936,52.51023025332968
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.337905317704905,52.569629035282134
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.337765011272683,52.569582268191034
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.510635294444267,52.47957966208717
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.279090677157855,52.6374251565938
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.510610520704953,52.47953852649903
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.32109759727786,52.614487540018445
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.499355962099177,52.53293897587924
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.633307540801548,52.51303906189277
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.340441848997221,52.56709939200838
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.310842854783248,52.414580047625286
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.493359459763697,52.569164674833736
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.351379000678042,52.41218418139727
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.38434780257875,52.43365528630026
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.235572846386628,52.5223923810135
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.639870651380436,52.4505521761203
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.275490144386312,52.593408706474506
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.366809341404842,52.57019777889669
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.366810196342534,52.57018168145042
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.595117958163174,52.487808533494615
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.59975009493759,52.53312918970634
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.275917779898467,52.5932612892058
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.501175020369303,52.42268381401843
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.427773403927311,52.58199206270033
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.428220664971082,52.58194141551816
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.513894072270169,52.630948142023264
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.441217118134816,52.61092453315169
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.324697087402226,52.61060531261021
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.45779805623957,52.53448664809832
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.176838107730932,52.561423855995194
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.30347746092367,52.42593740100929
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.618884218028496,52.53376568872109
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.36086532982127,52.56565784952015
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.491016685174086,52.5185698207504
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.24768491402007,52.512916227456536
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.273846887947457,52.57337010428871
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.441192402196878,52.610935097619574
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.359446488386624,52.492116793797095
Nordmanntanne,Abies nordmanniana,Tanne,Abies,13.571532003486386,52.47636427425063
Sibirische Bürsten-Tanne,Abies nephrolepis,Tanne,Abies,13.582690428663984,52.48680444436321
Sibirische Bürsten-Tanne,Abies nephrolepis,Tanne,Abies,13.55093035860579,52.5335228480141
Sibirische Bürsten-Tanne,Abies nephrolepis,Tanne,Abies,13.207467637549508,52.4211309137687
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.272825268250305,52.57353350270956
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.39046528044131,52.571135463444975
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.42772400811334,52.60922624816133
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.409933385744425,52.578049592356535
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.39046528044131,52.571135463444975
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.426910168503209,52.60938154721851
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.516218815360771,52.48003424836905
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.526744853359624,52.491701724419286
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.351081541448774,52.41188565261367
Sicheltanne,Cryptomeria japonica,SICHELTANNE,CRYPTOMERIA,13.378625323496273,52.463732626337325
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.27904310977836,52.629628567296756
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.473599048477922,52.52013354757002
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.4735514721302,52.520132933862925
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.147564798108517,52.45447809108368
Silber-Tanne,Abies procera,Tanne,Abies,13.446463600039447,52.5421384841709
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.17599110842844,52.562318289180816
Silber-Tanne,Abies procera,Tanne,Abies,13.462106158586849,52.547950005299654
Silber-Tanne,Abies procera,Tanne,Abies,13.651030600057494,52.523840444644364
Silber-Tanne,Abies procera,Tanne,Abies,13.650966538584333,52.52379489885549
Silber-Tanne,Abies procera,Tanne,Abies,13.158797328902542,52.56730271483208
Silber-Tanne,Abies procera,Tanne,Abies,13.431025808632402,52.45418596917351
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.474480648804015,52.51978294989994
Silber-Tanne,Abies procera 'Glauca',Tanne,Abies,13.474350003778731,52.51979868561522
Silberblaue Spanien-Tanne,Abies pinsapo 'Glauca',Tanne,Abies,13.60121600494097,52.53099109574169
Silberblaue Spanien-Tanne,Abies pinsapo 'Glauca',Tanne,Abies,13.601235594345114,52.5309714017706
Tanne,Abies spec.,Tanne,Abies,13.205416996789967,52.54066139363641
Tanne,Abies spec.,Tanne,Abies,13.38977196482031,52.53254370516064
Tanne,Abies spec.,Tanne,Abies,13.447870247800877,52.58029634825613
Tanne,Abies spec.,Tanne,Abies,13.447898230992367,52.58027681996031
Tanne,Abies spec.,Tanne,Abies,13.477834159682605,52.51732695149746
Tanne,Abies spec.,Tanne,Abies,13.18152454036228,52.5420620702641
Tanne,Abies spec.,Tanne,Abies,13.444787023036389,52.54325917969942
Tanne,Abies spec.,Tanne,Abies,13.181847080496881,52.541942585366975
Tanne,Abies spec.,Tanne,Abies,13.515467482562114,52.49863551296689
Tanne,Abies spec.,Tanne,Abies,13.5132344527665,52.50024216453809
Tanne,Abies spec.,Tanne,Abies,13.618552394360384,52.534507540563666
Tanne,Abies spec.,Tanne,Abies,13.617664928955362,52.53442509201727
Tanne,Abies spec.,Tanne,Abies,13.621815664627306,52.515530987721604
Tanne,Abies spec.,Tanne,Abies,13.559021727799356,52.509138560518124
Tanne,Abies spec.,Tanne,Abies,13.261722000476672,52.454322062014406
Tanne,Abies spec.,Tanne,Abies,13.563932313157144,52.532559508341215
Tanne,Abies spec.,Tanne,Abies,13.411200375716012,52.48766583894768
Tanne,Abies spec.,Tanne,Abies,13.38979334895466,52.53249881332932
Tanne,Abies spec.,Tanne,Abies,13.499417328854003,52.53295014122269
Tanne,Abies spec.,Tanne,Abies,13.389843434644396,52.53251827173098
Tanne,Abies spec.,Tanne,Abies,13.414037728548845,52.482712774155566
Tanne,Abies spec.,Tanne,Abies,13.205414372131987,52.540216569829624
Tanne,Abies spec.,Tanne,Abies,13.205135928915995,52.54055108000283
Tanne,Abies spec.,Tanne,Abies,13.437411598037091,52.566790877912375
Tanne,Abies spec.,Tanne,Abies,13.169217889833856,52.543189030697334
Tanne,Abies spec.,Tanne,Abies,13.476366961516181,52.51327567205857
Tanne,Abies spec.,Tanne,Abies,13.433962444211604,52.53748218281391
Tanne,Abies spec.,Tanne,Abies,13.47821048015628,52.51796014752551
