art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Blut-Trompetenbaum,Catalpa x erubescens 'Purpurea',TROMPETENBAUM,CATALPA,13.573511732700254,52.49060790506756
Gold-Trompetenbaum,Catalpa bignonioides 'Aurea',TROMPETENBAUM,CATALPA,13.29423920858552,52.59838711927074
Gold-Trompetenbaum,Catalpa bignonioides 'Aurea',TROMPETENBAUM,CATALPA,13.369376113048146,52.572124623473385
Gold-Trompetenbaum,Catalpa bignonioides 'Aurea',TROMPETENBAUM,CATALPA,13.343296415619987,52.57395438409925
Gold-Trompetenbaum,Catalpa bignonioides 'Aurea',TROMPETENBAUM,CATALPA,13.368900462747886,52.571310503772914
Gold-Trompetenbaum,Catalpa bignonioides 'Aurea',TROMPETENBAUM,CATALPA,13.562468772327028,52.47390924024694
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.447320848980342,52.56889510492418
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.45953568663139,52.531716878323145
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.459470366239344,52.53172730004973
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.458973347732687,52.5317986686667
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.447170504382433,52.56894197453652
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.424040533858483,52.53526125232584
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.447115652692208,52.568906565286284
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.458767954003529,52.53183099857814
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.458649852861283,52.53184835412918
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.458279661791808,52.53189329993577
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.447298391394677,52.56893401810599
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.459615598115175,52.531705578350206
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.496744015928858,52.53668211052636
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.45987685017216,52.53167453854961
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.496687497166084,52.53670210776142
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.496962116215771,52.536668049496136
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.496688317626662,52.5367823263495
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.301453157830391,52.543637837691925
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.503231954914966,52.53743984602538
Kugel-Trompetenbaum,Catalpa bignonioides 'Nana',TROMPETENBAUM,CATALPA,13.459701236542548,52.53169922867323
Trompetenbaum,Catalpa bignonioides,TROMPETENBAUM,CATALPA,13.273938409876619,52.4308107532205
Trompetenbaum,Catalpa bignonioides,TROMPETENBAUM,CATALPA,13.243296020177988,52.42692115839792
Trompetenbaum,Catalpa bignonioides,TROMPETENBAUM,CATALPA,13.31065493167895,52.41423842080034
