art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.40524638412399,52.4918306050526
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.40544024069635,52.49181989521001
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.191955144259511,52.515482056580666
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.191962777451256,52.51546037015783
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.51484204128079,52.51219713612909
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.514757404699642,52.51219176172361
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.514687335066093,52.5121736321299
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.405266826773149,52.49185888791888
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.230158490553306,52.54554978331855
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.443254738469038,52.45249447727267
Tupelobaum,Nyssa sylvatica,TUPELOBAUM,NYSSA,13.443093770383431,52.45251364731561
