art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.424506912679735,52.43109954754145
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.56968690047494,52.53461665221313
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.569785380982324,52.53456621587679
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.569917030369673,52.53454995713654
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.570845728333353,52.53440078264611
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.570987505353683,52.534375867232335
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.571101994088613,52.534354815533405
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.57131086638157,52.53431771078088
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.57142532759775,52.53429749728588
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.571570941999196,52.53428143314776
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.572592818368712,52.534121209414145
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.327674265879278,52.59465034651466
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404108448135025,52.51742780621314
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404165275297785,52.5178681342506
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.569665696536166,52.53457325598452
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404019511619227,52.51775296267383
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.40447556030983,52.51741102821057
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404529877846576,52.51742912416596
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404422535331076,52.517685635885506
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404752096119621,52.51758902066561
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.404405342347484,52.51779534771834
Unbekannt,Unbekannt,Unbekannt,UNBEKANNT,13.40472012332503,52.51772625634054
