art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.575328497343977,52.48446642120441
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.492840164205246,52.56843516630657
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.290869424429099,52.59393174655268
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.492863275327595,52.56841921127466
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.5342882338048,52.52586495731853
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.272742802689155,52.5731431097378
Chinesischer Wacholder,Juniperus chinensis,WACHOLDER,JUNIPERUS,13.49281683739146,52.56845736816127
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.534074977761465,52.58062804115346
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.509388918750185,52.57190533551114
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.233324918139154,52.52368884074889
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.567726672524557,52.48909800045794
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.432641999157461,52.539425058999264
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.432796335089657,52.539948972152374
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.340870963941475,52.57033221898762
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.340820848506842,52.570336200966906
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.339618046450731,52.566716537836605
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.339626379735753,52.56674912687903
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.365876562968795,52.5457954205408
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.366167872427003,52.54610286118748
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.365779530073027,52.546148873896776
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.35773697848391,52.54855605912262
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.358353449038498,52.5645298380941
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.486225695307738,52.52677108451239
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.48616677537376,52.52677257405993
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.486111571837359,52.52677298994741
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.52870300976018,52.53674788291288
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.341229121502625,52.57072688198532
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.703743309616573,52.43430135580642
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.430743156805264,52.42968245874789
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.3352142288212,52.58977805579412
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.422084812442684,52.53076171268063
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.43769138598189,52.51211342950587
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.444339372472378,52.448663741289685
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.295255382027268,52.58756037711332
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.335199788364957,52.589824228579275
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.541960691159534,52.54513084564418
Gewöhnlicher Wacholder,Juniperus communis,WACHOLDER,JUNIPERUS,13.33514948420673,52.58973763970974
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368520566618297,52.458218576619366
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368520298787844,52.45823418163397
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368527945192048,52.458250982866154
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368819938883505,52.45813732414702
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368822882989592,52.45815459637495
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368526975137046,52.45820090113117
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368822685959602,52.45812301389397
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368813400422896,52.45809285613436
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.3688272528887,52.45817008913144
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368817470443359,52.4580755269044
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368525179926229,52.45818691394267
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368515910084662,52.45810836308134
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.36851304787955,52.458084658776734
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.508985977840863,52.41370928677257
Virginischer Wacholder,Juniperus virginiana,WACHOLDER,JUNIPERUS,13.368522994969876,52.458170649303014
