art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.593687696430473,52.54428038392562
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.593848033251883,52.544250454091646
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.593875386657327,52.544247905574856
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.59384446729573,52.544227571429644
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.59383419152278,52.54420426920178
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.401641501512449,52.53687532086818
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.602825339253387,52.54466407426332
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.417393076654855,52.53624350041123
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.602824351806106,52.544689455375334
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.602807698092613,52.54473559926934
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.401509227929063,52.536836482286084
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.593724807620918,52.54427508150529
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.593870658661464,52.54426604054958
Lorbeer-Weide,Salix pentandra,WEIDE,SALIX,13.22697801909804,52.61250989056946
Mandelweide,Salix triandra,WEIDE,SALIX,13.355027003972578,52.60404168817376
Mandelweide,Salix triandra,WEIDE,SALIX,13.354803623429422,52.60282505214004
Mandelweide,Salix triandra,WEIDE,SALIX,13.354336327688136,52.60417145278502
Reif-Weide,Salix daphnoides,WEIDE,SALIX,13.331328588882306,52.4556479313154
Sal-Weide,Salix caprea,WEIDE,SALIX,13.365525460748458,52.40432318841873
Sal-Weide,Salix caprea,WEIDE,SALIX,13.365185175888879,52.403760139731794
Sal-Weide,Salix caprea,WEIDE,SALIX,13.364006204777318,52.41194438639323
Sal-Weide,Salix caprea,WEIDE,SALIX,13.470836422129073,52.522498100463686
Sal-Weide,Salix caprea,WEIDE,SALIX,13.493971029245023,52.4957901057885
Sal-Weide,Salix caprea,WEIDE,SALIX,13.491668960438432,52.567394716766046
Sal-Weide,Salix caprea,WEIDE,SALIX,13.50393544782752,52.55490337320658
Sal-Weide,Salix caprea,WEIDE,SALIX,13.62425378309958,52.52902035264573
Sal-Weide,Salix caprea,WEIDE,SALIX,13.431021665379255,52.415304261513064
Sal-Weide,Salix caprea,WEIDE,SALIX,13.431051254315717,52.415368694818746
Sal-Weide,Salix caprea,WEIDE,SALIX,13.431036608020754,52.415332303729315
Sal-Weide,Salix caprea,WEIDE,SALIX,13.431025380340214,52.41539201890461
Sal-Weide,Salix caprea,WEIDE,SALIX,13.470578958398763,52.4209282714031
Sal-Weide,Salix caprea,WEIDE,SALIX,13.455940325165825,52.42515492519656
Sal-Weide,Salix caprea,WEIDE,SALIX,13.61051194268962,52.52757522796784
Sal-Weide,Salix caprea,WEIDE,SALIX,13.609573107369666,52.52756164088729
Sal-Weide,Salix caprea,WEIDE,SALIX,13.619552280456158,52.52706773017228
Sal-Weide,Salix caprea,WEIDE,SALIX,13.5332188496852,52.56884577938693
Sal-Weide,Salix caprea,WEIDE,SALIX,13.365794089664362,52.40420266224758
Sal-Weide,Salix caprea,WEIDE,SALIX,13.50843762923388,52.57089759334147
Sal-Weide,Salix caprea,WEIDE,SALIX,13.362768500982433,52.404466673635945
Sal-Weide,Salix caprea,WEIDE,SALIX,13.495837838010868,52.541927612012735
Sal-Weide,Salix caprea,WEIDE,SALIX,13.509949052909601,52.537874970135995
Sal-Weide,Salix caprea,WEIDE,SALIX,13.507801637767706,52.53783906991418
Sal-Weide,Salix caprea,WEIDE,SALIX,13.51005296295027,52.537640962454105
Sal-Weide,Salix caprea,WEIDE,SALIX,13.503256175405868,52.55513201668629
Sal-Weide,Salix caprea,WEIDE,SALIX,13.510014257425997,52.53761251521314
Sal-Weide,Salix caprea,WEIDE,SALIX,13.516927206553603,52.51742404100125
Sal-Weide,Salix caprea,WEIDE,SALIX,13.527973448552979,52.56119730495475
