art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Atlas-Zeder Gelb-Gold-Zeder,Cedrus atlantica 'Aurea',ZEDER,CEDRUS,13.28505541498453,52.57820080206687
Atlas-Zeder Gelb-Gold-Zeder,Cedrus atlantica 'Aurea',ZEDER,CEDRUS,13.325649048201514,52.590293750859
Atlas-Zeder Gelb-Gold-Zeder,Cedrus atlantica 'Aurea',ZEDER,CEDRUS,13.613691398264498,52.5350598557219
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.471553144026247,52.52794849123859
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.256178117114363,52.43623750169261
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.540978996922545,52.545103569439725
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.213618561242415,52.60820830806218
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.393029711617702,52.44102068464554
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.492689134511437,52.62890567512582
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.47812203117366,52.51807460619705
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.47801271667905,52.518068159881636
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.36769962448667,52.45844605973982
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.367689272130551,52.458402781601876
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.367701950743562,52.458488181419696
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.36771550009852,52.45867518923269
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.367728834820651,52.45872053064893
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.478149666449406,52.51744133357567
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.405597191102125,52.45427891354599
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.4056908705779,52.45415203459844
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.473253892095187,52.528879217004736
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.474889320086724,52.52955492731562
Atlaszeder,Cedrus atlantica,ZEDER,CEDRUS,13.367710052423234,52.458622947142416
Blaue Atlas-Zeder,Cedrus atlantica 'Glauca',ZEDER,CEDRUS,13.3392910952935,52.57121073013825
Blaue Atlas-Zeder,Cedrus atlantica 'Glauca',ZEDER,CEDRUS,13.515719089472684,52.48018748375715
Blaue Atlas-Zeder,Cedrus atlantica 'Glauca',ZEDER,CEDRUS,13.340374796462022,52.57137906857115
Blaue Atlas-Zeder,Cedrus atlantica 'Glauca',ZEDER,CEDRUS,13.339305036153528,52.571199399151006
Blaue Atlas-Zeder,Cedrus atlantica 'Glauca',ZEDER,CEDRUS,13.180379444811939,52.48500958890982
