art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.458086733416861,52.45366013302529
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.437708535670168,52.478964520104796
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.437583798993595,52.47917637214766
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.437550615505584,52.47922352004333
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.437492196397914,52.479261403735336
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.43747954304669,52.47932106866184
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.438209780995884,52.47902798732514
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.52759557841629,52.45778530647814
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.52742185338841,52.45791639216985
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.527224747408447,52.45806228596226
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.509990573664808,52.46340070797232
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.45822973789091,52.45369232898113
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.457631567104878,52.4534030949156
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.457852023571641,52.45360650747365
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.457975770725671,52.45363490202643
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.43776765378831,52.47892343212555
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.437804929441189,52.478883006902294
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.392226146584198,52.51300001168242
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.392278547163531,52.513001101323354
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.392324060714218,52.51243876882528
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.39238600076034,52.51243046557665
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.39244340088997,52.51241455709148
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.392277181661976,52.51303229083521
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.392336751061672,52.51303348325245
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.457770602698176,52.453434027670234
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.438150899441313,52.47912160815804
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.53089830606531,52.40504294893585
Japanische Zelkove,Zelkova serrata,ZELKOVE,ZELKOVA,13.501501215609382,52.49723124979462
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.420712543139528,52.55359940730978
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.420695767527668,52.554971493813305
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.420710368377929,52.553509138339486
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.420711632354365,52.55419904077732
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.42070964271508,52.553428793186086
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.420707530026364,52.55412560242035
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.387761133572733,52.443180232065956
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.527767406588001,52.45765938563759
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.52809759224587,52.45741148715466
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.52828165083969,52.45727578091699
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.528444112754983,52.457152907384625
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.195643310364,52.54024973988802
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.52707091808353,52.45817687942644
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.388043464168764,52.4432632882721
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.38811959693282,52.44330998069604
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.387922768440484,52.44320292225754
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.527917485203831,52.457542711720464
Japanische Zelkove 'Green Vase',Zelkova serrata 'Green Vase',ZELKOVE,ZELKOVA,13.195521569822027,52.5404401560913
Kakasische Zelkove,Zelkova carpinifolia,ZELKOVE,ZELKOVA,13.293444226566642,52.577774313012604
Kakasische Zelkove,Zelkova carpinifolia,ZELKOVE,ZELKOVA,13.481398768860307,52.50290846202257
