art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.326877773890757,52.51571089522482
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.348104799622119,52.52547414358576
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.414859449683947,52.49769108916572
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.346475548235215,52.52511651427702
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.346764637820405,52.52512425154184
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.346791122632192,52.52503131887059
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.346945499390369,52.52507128769964
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.347496491657667,52.52495047785199
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.34824686431188,52.52558262649582
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.34826279164091,52.5256337196781
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.529329427686593,52.48800687580456
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.386017568560943,52.53910502467861
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.283085962848837,52.4964546409396
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.389251561984896,52.44160570325359
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.388706444643502,52.44174928142628
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.388589041637262,52.44185543555467
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.4798648518549,52.50113995090118
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.51232002180604,52.50268231835834
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.485630709620962,52.50190522028548
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.51375647811025,52.50106227423416
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.484302456784878,52.5023501467628
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.484278793166542,52.50236078026248
Amerikanischer Zürgelbaum,Celtis occidentalis,ZÜRGELBAUM,CELTIS,13.479735306079503,52.50112873700511
