art_dtsch,art_bot,gattung_deutsch,gattung,lon,lat
Amerikanisches Gelbholz,Cladrastis lutea,GELNHOLZ,CLADRASTIS,13.282052567049568,52.451713032508714
Amerikanisches Gelbholz,Cladrastis lutea,GELNHOLZ,CLADRASTIS,13.378749081881127,52.4812225317464
Amerikanisches Gelbholz,Cladrastis lutea,GELNHOLZ,CLADRASTIS,13.357393647790213,52.49330116817881
Amerikanisches Gelbholz,Cladrastis lutea,GELNHOLZ,CLADRASTIS,13.317029051595737,52.60592408497564
Chinesischer Gemüsebaum,Toona sinensis,Unbekannt,TOONA,13.37293700219865,52.521336558665304
Chinesischer Gemüsebaum,Toona sinensis,Unbekannt,TOONA,13.420527282694241,52.53344690138522
Chinesischer Gemüsebaum,Toona sinensis,Unbekannt,TOONA,13.44286969705834,52.45254369445502
Chinesischer Gemüsebaum,Toona sinensis,Unbekannt,TOONA,13.44265618450524,52.452570687503375
Säulen-Tulpenbaum 'Fastigiatum',Liriodendron tulipifera 'Fastigiatum',TULPENBAUM,LIRIODENDRON,13.356981888299693,52.48038514468098
Säulen-Tulpenbaum 'Fastigiatum',Liriodendron tulipifera 'Fastigiatum',TULPENBAUM,LIRIODENDRON,13.515926003284514,52.462064645360094
Säulen-Tulpenbaum 'Fastigiatum',Liriodendron tulipifera 'Fastigiatum',TULPENBAUM,LIRIODENDRON,13.369119810920926,52.53547078837132
Säulen-Tulpenbaum 'Fastigiatum',Liriodendron tulipifera 'Fastigiatum',TULPENBAUM,LIRIODENDRON,13.391719748738511,52.55741007530746
Taschentuchbaum,Davidia involucrata,TASCHENTUCHBAUM,DAVIDIA,13.360540650813116,52.51221464308079
Taschentuchbaum,Davidia involucrata,TASCHENTUCHBAUM,DAVIDIA,13.627704363157509,52.444674016882296
Taschentuchbaum,Davidia involucrata,TASCHENTUCHBAUM,DAVIDIA,13.479485799486095,52.48349852147851
Taschentuchbaum,Davidia involucrata,TASCHENTUCHBAUM,DAVIDIA,13.513842967898317,52.500720887373376
